"","A","Th_A","A+T","Th_A+T","A+T+D","Th_A+T+PD"
"PARL 854",-0.117234770210917,-0.343681805655315,-0.308715227372467,-0.529720500218829,-0.587033202988231,-0.393884862308819
"PARL 845",-0.732037083971472,-0.678688227154133,-0.726398722376473,-0.666190501313659,-0.743259596855912,-0.690501928278999
"PARL 839",-0.209421616534108,-0.186051433634323,-0.317752533273169,-0.399922775124311,-0.323323359165989,-0.419885751299267
"PARL 585",-0.474152454549302,-0.473681147129943,-0.544782759750625,-0.604885132053445,-0.65290135915131,-0.627435580586975
"PARL 584",-0.937133938264781,-0.886201123602399,-1.00617166192202,-0.985853375928342,-1.03192848113508,-0.976579853471036
"PARL 582",-0.687754071944648,-0.716802324511675,-0.833021152839027,-0.818449172951917,-0.881529115590723,-0.849831524219139
"PARL 580",-0.341652747619106,-0.321889481525602,-0.469955451599941,-0.489703025444035,-0.479878930709054,-0.489128397166057
"PARL 572",-0.316009483184042,-0.398178147962452,-0.421665614638539,-0.473761123118538,-0.454824049869306,-0.493275376445703
"PARL 390",-0.275938502770519,-0.36421320454081,-0.442390867057449,-0.539844390553433,-0.592952045811781,-0.566829351521355
"PARL 326",-0.681010549820455,-0.676024678260128,-0.719551732710894,-0.698163655127091,-0.730171765088953,-0.724187406106367
"PARL 325",-0.294425197313112,-0.263203732771149,-0.303460891947069,-0.256649229650267,-0.32159368778411,-0.260460380438411
"PARL 319",-0.4055700555512,-0.651282236104288,-0.531353152544197,-0.725265985862958,-0.735083789072232,-0.713497421070119
"PARL 246",-0.292894509841732,-0.202911997181397,-0.408666770691098,-0.318202427688183,-0.405131131082882,-0.317796297404607
"PARL 242",-0.0765479918982059,-0.093169867993398,-0.075004536580823,-0.091744879208558,-0.074274036659073,-0.095817998569629
"All",-0.432275355921986,-0.426321093488372,-0.485228929932047,-0.494672351444354,-0.480525467580328,-0.470806167458968
