"","A","Th_A","A+T","A*T","Th_A+T","Th_A*T","A+T+D","A*T*D","Th_A+T+PD","Th_A*T*PD"
"All",-0.432275355901141,-0.426321093474435,-0.485228929916376,-0.497740792207989,-0.494672351433104,-0.510025544892721,-0.480525467563719,-0.500908101035871,-0.470806167434223,-0.489633889902609
"242",-0.0765479918131849,-0.09316986797632,-0.075004536525079,-0.067043647480092,-0.0917448792201619,-0.090047834909279,-0.07427403661941,-0.084044134586714,-0.095817998592215,-0.120197111122088
"246",-0.29289450982227,-0.202911997252227,-0.40866677067211,-0.43437704106633,-0.318202427785909,-0.347893426007671,-0.405131131089714,-0.41167688017997,-0.317796297503536,-0.356268410190136
"319",-0.405570055521121,-0.651282236043988,-0.53135315250759,-0.554409542531166,-0.725265985815968,-0.756290358325604,-0.735083789032206,-0.939150831077381,-0.71349742088622,-0.856213621869675
"325",-0.294425197513194,-0.263203732927326,-0.303460892084155,-0.315881164779593,-0.256649229702988,-0.271632403500755,-0.321593687927543,-0.406252772694416,-0.26046038040021,-0.318498998790768
"326",-0.681010549826872,-0.676024678312289,-0.719551732760869,-0.731315813216951,-0.698163655216925,-0.721505082028544,-0.730171765150987,-0.815816581493742,-0.724187406172316,-0.859229948356882
"390",-0.275938502622381,-0.364213204447536,-0.442390867011989,-0.510705091016624,-0.539844390544441,-0.571498818181535,-0.592952045785111,-0.737179558961101,-0.566829351509055,-0.616177083320597
"572",-0.316009483175338,-0.398178147855599,-0.421665614655464,-0.463306552360694,-0.473761123045602,-0.503520112481795,-0.454824049888346,-0.520317941424707,-0.493275376362537,-0.455469004082513
"580",-0.341652747606456,-0.321889481431747,-0.469955451644174,-0.488440867652248,-0.489703025391469,-0.505630817938199,-0.479878930775565,-0.565974751377447,-0.489128397098592,-0.577533234586371
"582",-0.687754071918416,-0.71680232448977,-0.833021152804422,-0.833394994423067,-0.818449172863511,-0.809614540208223,-0.881529115552797,-0.963350794042915,-0.849831524117054,-0.860645944383263
"584",-0.93713393820732,-0.886201123546987,-1.00617166187562,-1.07758192687187,-0.985853375906521,-1.06293470499873,-1.03192848106555,-1.32024783172821,-0.976579853249884,-1.29269884660152
"585",-0.474152454473563,-0.473681147079567,-0.544782759711048,-0.609466148698874,-0.604885131982304,-0.631023202997822,-0.652901359119877,-0.539964201561458,-0.627435580587715,-0.592973120138132
"839",-0.209421616760424,-0.186051433741861,-0.317752533519487,-0.333892615072264,-0.399922775245402,-0.428930783945791,-0.323323359340469,-0.279788633456941,-0.419885751422374,-0.452529674842119
"845",-0.732037083927998,-0.67868822711066,-0.726398722358923,-0.736545339061833,-0.666190501293354,-0.655949663652654,-0.743259596839954,-0.706039276110357,-0.690501928257075,-0.731417883954149
"854",-0.117234770220225,-0.34368180569901,-0.308715227387712,-0.531293008337065,-0.529720500294385,-0.527946337266452,-0.587033203004515,-0.579055056830753,-0.393884863217167,-0.52769281450757
