"","A","Th_A","A*T","Th_A*T","A*T*D","Th_A*T*PD"
"All",-0.447589430289595,-0.419479882372206,-0.505083682217735,-0.504295990396303,-0.508843862989183,-0.48777486535043
"242",-0.146840826517515,-0.150093349319651,-0.0559949612949561,-0.073149162769787,-0.0215466034053049,-0.033953532330166
"246",-0.220527106992283,-0.141529909194245,-0.309326790313548,-0.235857476154631,-0.260415207067063,-0.22767743613013
"319",-0.551600992667754,-0.510660719290246,-0.687889511068427,-0.67908244534503,-1.0020251025236,-0.918925656506066
"325",-0.231508022628534,-0.206023210274429,-0.280630912881916,-0.250104735389371,-0.333902903246919,-0.283737666240783
"326",-0.658316237180201,-0.665931010686879,-0.69058859679548,-0.698566750742897,-0.806517031354062,-0.840543719770911
"390",-0.423448209425015,-0.509796128672495,-0.524753826737811,-0.60687773499275,-0.723549373538847,-0.627902240264625
"572",-0.310827354532697,-0.383443788056061,-0.431846602691197,-0.471431698200818,-0.476066924555572,-0.454041261426657
"580",-0.350870796959353,-0.343725640213109,-0.435233507145928,-0.451034609300458,-0.498648703948396,-0.53710070407112
"582",-0.711610773346001,-0.746339853896376,-0.83020432342848,-0.813009224919193,-0.95721536757318,-0.865585084445013
"584",-0.925880177784084,-0.885282467006568,-1.04697872041685,-1.03108232567782,-1.25378698198851,-1.21260089050956
"585",-0.521243091890799,-0.625813446208124,-0.524773558557224,-0.7033459193584,-0.704702098344104,-0.716666645298638
"839",-0.134988340755317,0.00584014140240297,-0.208652177701846,-0.177493056585724,-0.171794632921255,-0.248805134782052
"845",-0.755029304591247,-0.70360800404809,-0.683804074565635,-0.616007412152108,-0.634133916252599,-0.660428034730016
"854",-0.121505684794672,-0.362954668875521,-0.523486313816409,-0.540246798782125,-0.531936990799562,-0.487168344774665
