"","A","Th_A","A+T","Th_A+T","A+T+D","Th_A+T+PD"
"PARL 854",-0.121505684785127,-0.362954668841007,-0.298956990482933,-0.540834208987179,-0.305322750931563,-0.365605038604083
"PARL 845",-0.755029304624147,-0.703608004083167,-0.668627474289992,-0.611529442317127,-0.686797389860393,-0.633374762751797
"PARL 839",-0.13498834066027,0.00584014115217502,-0.202044726259518,-0.098909497006344,-0.201086988148021,-0.136769773104694
"PARL 585",-0.521243091939025,-0.625813446201821,-0.535659479286108,-0.695057713338888,-0.63158247349892,-0.715916251701809
"PARL 584",-0.925880177825479,-0.885282467050335,-0.983726305111255,-0.964045315502513,-1.02806509689584,-0.952962452740792
"PARL 582",-0.711610773381238,-0.746339853951507,-0.818911033529245,-0.823157635703038,-0.850029463372021,-0.856598681917842
"PARL 580",-0.350870796940874,-0.343725640281178,-0.418334686910727,-0.43541511294543,-0.434159787825141,-0.436567539175834
"PARL 572",-0.310827354539023,-0.383443788146625,-0.397441509174,-0.449946160856977,-0.426245217260494,-0.467044051517554
"PARL 390",-0.423448209558578,-0.509796128740778,-0.486818212956794,-0.567721435615083,-0.553062094714694,-0.588205422415516
"PARL 326",-0.658316237171372,-0.665931010630587,-0.665132513912698,-0.66746524263441,-0.721744972326562,-0.694294978945485
"PARL 325",-0.231508022448152,-0.206023210134715,-0.271232110264682,-0.246674436936036,-0.287977358597008,-0.255010475329372
"PARL 319",-0.551600992674347,-0.510660719340321,-0.670671849066017,-0.586023035689146,-0.755725184649253,-0.59650449760641
"PARL 246",-0.220527107000807,-0.141529909116429,-0.299690050374385,-0.222870876208682,-0.282863193469692,-0.213284449769427
"PARL 242",-0.146840826676311,-0.150093349432244,-0.11699723152661,-0.119219856816474,-0.109695646100528,-0.11241220675175
"All",-0.447589430307655,-0.419479882405165,-0.491855271766514,-0.486043273114899,-0.49425407566285,-0.463323405962493
