"","A","Th_A","A+T","A*T","Th_A+T","Th_A*T","A+T+D","A*T*D","Th_A+T+PD","Th_A*T*PD"
"All",-0.447589430289595,-0.419479882372206,-0.491855271754221,-0.505083682217736,-0.486043273093611,-0.504295990396303,-0.494254075650252,-0.508843862989183,-0.463323405922379,-0.48777486535043
"242",-0.146840826517515,-0.150093349319651,-0.11699723140337,-0.0559949612949561,-0.119219856734981,-0.073149162769787,-0.109695645996369,-0.0215466034053049,-0.112412206703819,-0.033953532330166
"246",-0.220527106992283,-0.141529909194245,-0.299690050360451,-0.309326790313548,-0.222870876297103,-0.235857476154631,-0.282863193475968,-0.260415207067062,-0.213284449862746,-0.227677436130129
"319",-0.551600992667754,-0.510660719290246,-0.670671849052092,-0.687889511068427,-0.58602303563312,-0.67908244534503,-0.755725184628097,-1.0020251025236,-0.596504497473211,-0.918925656506066
"325",-0.231508022628534,-0.206023210274429,-0.271232110418513,-0.280630912881916,-0.246674437048774,-0.250104735389371,-0.287977358763644,-0.33390290324692,-0.255010475381722,-0.283737666240783
"326",-0.658316237180201,-0.665931010686879,-0.66513251395528,-0.69058859679548,-0.667465242725535,-0.698566750742897,-0.721744972371197,-0.806517031354061,-0.694294979104812,-0.840543719770911
"390",-0.423448209425015,-0.509796128672495,-0.486818212933464,-0.524753826737811,-0.567721435630496,-0.60687773499275,-0.553062094713472,-0.723549373538847,-0.588205422476168,-0.627902240264625
"572",-0.310827354532697,-0.383443788056061,-0.397441509189555,-0.431846602691197,-0.449946160794643,-0.471431698200818,-0.426245217277762,-0.476066924555573,-0.467044051445453,-0.454041261426652
"580",-0.350870796959353,-0.343725640213109,-0.41833468696727,-0.435233507145928,-0.435415112909324,-0.451034609300458,-0.434159787882953,-0.498648703948395,-0.436567539146104,-0.53710070407112
"582",-0.711610773346001,-0.746339853896376,-0.818911033486381,-0.83020432342848,-0.823157635601652,-0.813009224919193,-0.850029463324472,-0.95721536757318,-0.856598681803944,-0.865585084445013
"584",-0.925880177784084,-0.885282467006568,-0.983726305081561,-1.04697872041685,-0.964045315488448,-1.03108232567782,-1.02806509686372,-1.25378698198851,-0.952962452592485,-1.21260089050956
"585",-0.521243091890799,-0.625813446208124,-0.535659479238918,-0.524773558557225,-0.695057713291196,-0.7033459193584,-0.631582473457018,-0.704702098344108,-0.71591625166422,-0.716666645298639
"839",-0.134988340755317,0.00584014140240297,-0.202044726379028,-0.208652177701845,-0.0989094967245551,-0.177493056585724,-0.201086988250311,-0.17179463292125,-0.136769773054391,-0.248805134782052
"845",-0.755029304591247,-0.70360800404809,-0.668627474275416,-0.683804074565635,-0.611529442298373,-0.616007412152108,-0.686797389848095,-0.634133916252599,-0.633374762733334,-0.660428034730016
"854",-0.121505684794672,-0.362954668875521,-0.298956990497491,-0.523486313816409,-0.540834209046639,-0.540246798782125,-0.305322750924629,-0.531936990799561,-0.365605039382246,-0.487168344774665
