"","A","Th_A","A*T","Th_A*T","A*T*D","Th_A*T*PD"
"PARL 854",-0.00867749030317211,0.0985491334636724,0.0498634970462382,0.214247631616763,0.190052578577939,0.295450282328362
"PARL 845",0.174742448379889,0.183303600144967,0.227153562370702,0.24885239436904,0.265052221383884,0.17773620539164
"PARL 839",0.448075924701692,0.314242615398614,0.418569799248006,0.390472613111684,0.60953697203857,0.381835091198069
"PARL 585",0.0651312098034679,0.159546017610299,0.181615889386956,0.219694184883637,0.317954117643613,0.241082022775237
"PARL 584",-0.0183810890937248,-0.0308269780619708,-0.11850175938379,-0.13054494545067,-0.352282848481394,-0.358229979312978
"PARL 582",0.0107358799000307,-0.00828525714889317,-0.00298530924626639,-0.0149052529538283,-0.103028915622596,-0.0640160718593801
"PARL 580",0.236875409137853,0.140779793604054,0.354563529005248,0.296271441686461,0.256728683526828,0.230030689252409
"PARL 572",0.319804358435453,0.179258536685636,0.407229110982496,0.230467593017839,0.358891671166996,0.260903698473927
"PARL 390",0.13968445676974,0.233270051768629,0.199102896595962,0.304874854996085,0.135983762497946,0.261763128425689
"PARL 326",0.211801654316835,0.172328158852698,0.246311159114317,0.192681898845814,0.161761296933223,0.0548421088277944
"PARL 325",0.600209634657418,0.535928501831841,0.607601161032019,0.584575165280652,0.517519313480605,0.520155114787055
"PARL 319",0.129702324699332,0.128178984821451,0.0773863618654127,0.0636747733936311,-0.0840375728378906,-0.0600391087766934
"PARL 246",0.49458461069131,0.493029555617417,0.481029093925498,0.48221313222344,0.497036832181661,0.467034156214101
"PARL 242",0.805313157923044,0.809516230282679,0.87881067235376,0.856977812054517,0.863340121855287,0.835456151950606
"All",0.389390970687871,0.375853534727339,0.431245698388608,0.430155485904273,0.434592263625403,0.453126544113054
