"","A","Th_A","A+T","Th_A+T","A+T+D","Th_A+T+PD"
"All",0.389390970708716,0.375853534752182,0.432368405131426,0.431004081841131,0.438965776278935,0.455276592458283
"242",0.805313158008065,0.809516230369875,0.850136313282612,0.850505459421042,0.850694118015416,0.845912840173325
"246",0.494584610710772,0.493029555515026,0.48591470851001,0.485925348056086,0.485771252432717,0.478514846968575
"319",0.129702324729411,0.128178984922671,0.112844653750976,0.101898481839047,0.0753889202066115,0.108633850872445
"325",0.600209634457336,0.5359285016512,0.62110268984503,0.602160301232858,0.602225710339344,0.599899496905067
"326",0.211801654310418,0.172328158847344,0.253812207304168,0.209351024219034,0.243711152500776,0.180303415339635
"390",0.139684456917878,0.233270051874369,0.221189451455771,0.321902131095037,0.244358098617994,0.291114635734433
"572",0.319804358444157,0.179258536709507,0.426492271851185,0.259886295737437,0.405499711815361,0.230481274130691
"580",0.236875409150503,0.140779793792707,0.378714495318287,0.316300947698973,0.364649096725016,0.313026547723864
"582",0.0107358799262631,-0.00828525708811734,0.00270800212635869,-0.0164417012329607,-0.0340768429563161,-0.0489700323020053
"584",-0.0183810890362639,-0.0308269780276493,-0.0473028916124514,-0.0566556886184848,-0.0657343096143976,-0.0491230722048106
"585",0.0651312098792071,0.159546017717447,0.212503622485482,0.251240658308159,0.183230488114613,0.222832701728801
"839",0.448075924475376,0.314242615249581,0.443824978459299,0.369146356294362,0.547466093738037,0.34202033018845
"845",0.174742448423363,0.183303600174508,0.238580455184672,0.235445481680038,0.220752523721198,0.207511302631042
"854",-0.00867749031248,0.0985491334141493,0.0813386884431214,0.201585520320432,0.120987340521066,0.342995115773525
