"","A","Th_A","A+T","A*T","Th_A+T","Th_A*T","A+T+D","A*T*D","Th_A+T+PD","Th_A*T*PD"
"All",0.389390970708716,0.375853534752182,0.432368405131426,0.431245698404655,0.431004081841131,0.430155485923816,0.438965776278935,0.434592263641791,0.455276592458283,0.453126544148535
"242",0.805313158008065,0.809516230369875,0.850136313282612,0.878810672433878,0.850505459421042,0.856977812102236,0.850694118015416,0.863340121936676,0.845912840173325,0.835456152010282
"246",0.494584610710772,0.493029555515027,0.48591470851001,0.481029093942666,0.485925348056086,0.482213132135833,0.485771252432717,0.49703683225635,0.478514846968575,0.467034156234776
"319",0.129702324729411,0.128178984922671,0.112844653750976,0.0773863619077847,0.101898481839047,0.0636747735168932,0.0753889202066115,-0.0840375727596538,0.108633850872445,-0.060039108434528
"325",0.600209634457336,0.5359285016512,0.62110268984503,0.607601160902987,0.602160301232858,0.584575165279592,0.602225710339344,0.517519313339547,0.599899496905067,0.520155114883114
"326",0.211801654310418,0.172328158847344,0.253812207304168,0.246311159070132,0.209351024219034,0.192681898812704,0.243711152500776,0.161761296815963,0.180303415339635,0.0548421088987121
"390",0.139684456917878,0.233270051874369,0.221189451455771,0.199102896654278,0.321902131095037,0.304874855028883,0.244358098617994,0.135983762624261,0.291114635734433,0.261763129016904
"572",0.319804358444157,0.179258536709507,0.426492271851185,0.40722911096412,0.259886295737438,0.230467593034273,0.405499711815361,0.358891671153108,0.230481274130691,0.260903698235207
"580",0.236875409150503,0.140779793792707,0.378714495318286,0.354563528958254,0.316300947698973,0.2962714418215,0.364649096725015,0.256728683429064,0.313026547723864,0.23003068951495
"582",0.0107358799262631,-0.00828525708811734,0.00270800212635869,-0.002985309197445,-0.0164417012329607,-0.0149052529119462,-0.0340768429563161,-0.103028915533713,-0.0489700323020053,-0.0640160717055782
"584",-0.0183810890362639,-0.0308269780276493,-0.0473028916124514,-0.118501759336764,-0.0566556886184848,-0.130544945422697,-0.0657343096143974,-0.352282848409361,-0.0491230722048104,-0.358229978905956
"585",0.0651312098792071,0.159546017717447,0.212503622485482,0.181615889462609,0.251240658308159,0.219694184936293,0.183230488114613,0.317954117782756,0.222832701728801,0.241082022686055
"839",0.448075924475376,0.314242615249581,0.443824978459299,0.418569798990767,0.369146356294363,0.390472612851973,0.547466093738037,0.609536971924176,0.34202033018845,0.381835090968315
"845",0.174742448423363,0.183303600174508,0.238580455184672,0.227153562379485,0.235445481680038,0.248852394383837,0.220752523721198,0.265052221412455,0.207511302631042,0.177736205388247
"854",-0.00867749031248,0.0985491334141493,0.0813386884431214,0.049863497028361,0.201585520320432,0.214247631614283,0.120987340521066,0.190052578617925,0.342995115773525,0.295450281491966
