"","A","Th_A","A*T","Th_A*T","A*T*D","Th_A*T*PD"
"PARL 854",-0.0112349788990629,0.0790185562978928,0.0571246494560969,0.203126887271281,0.227941971697807,0.328600280652975
"PARL 845",0.135490833467522,0.142604743073925,0.279296152019898,0.289370631232937,0.333659528287803,0.248007337702142
"PARL 839",0.613903661856969,0.518406296291949,0.62440727900277,0.58272910131977,0.749264447934592,0.604385070293299
"PARL 585",0.0550866522295758,0.0214050600850613,0.201264628712381,0.163149277504961,0.149578020307208,0.148025579087323
"PARL 584",0.0148796798519827,0.000500865019775643,-0.0761735459374147,-0.0868803411535932,-0.284138089922358,-0.259241787789234
"PARL 582",0.050874683734016,0.0266558785025222,0.0351920548586151,0.0271977893319748,-0.0684438262054281,-0.0225960876876758
"PARL 580",0.318793396924633,0.236186265306263,0.435580097314609,0.378186848604635,0.363303071114528,0.306711895360053
"PARL 572",0.369903220054169,0.240259075440255,0.452975764241249,0.292728516155017,0.418671306807957,0.301542547394975
"PARL 390",0.191646884133929,0.251507542709339,0.265517585447841,0.317333933486862,0.188465303554337,0.294332192435207
"PARL 326",0.221719669453705,0.18144571570382,0.255637565961376,0.202437536505944,0.170605475720307,0.074509743222911
"PARL 325",0.657893119404387,0.614767484405,0.650586453613944,0.629260389995226,0.604821008361971,0.582382921425836
"PARL 319",0.0352463598349028,0.0495009139021653,0.00138816875327397,0.00213036838151126,-0.14301726025163,-0.076595134783781
"PARL 246",0.608745897010571,0.609363524254503,0.610211009922557,0.618060075838307,0.655167574628709,0.637978805218204
"PARL 242",0.730122544473342,0.722369699948392,0.917650073787238,0.887373179479701,0.950585353024637,0.941201193026814
"All",0.371260270082057,0.357499398258176,0.420873903007719,0.420271421314823,0.422476797804235,0.441940671618773
