"","A","Th_A","A+T","Th_A+T","A+T+D","Th_A+T+PD"
"All",0.371260270100117,0.357499398282842,0.422004041197317,0.421436652404246,0.422658127245432,0.444570490748878
"242",0.730122544632138,0.722369700107949,0.832809905338892,0.83396633514528,0.843439930491154,0.847539520229257
"246",0.608745897019095,0.609363524154041,0.616975173373158,0.622570826406988,0.630854111236926,0.627669262361843
"319",0.035246359841496,0.0495009139597757,0.0292871922452413,0.0368882982744028,0.00836085171966972,0.0670023171391144
"325",0.657893119224005,0.61476748424208,0.662355483877894,0.6336706544904,0.648978650631063,0.624080680483739
"326",0.221719669444876,0.181445715696065,0.243919748710591,0.20839775937939,0.217402626291976,0.18147552216514
"390",0.191646884267492,0.251507542792397,0.292237185323213,0.343295685067207,0.307592410347946,0.322592246141355
"572",0.369903220060495,0.240259075459181,0.469831560470301,0.317790166491889,0.451416865014979,0.292683508337894
"580",0.318793396906154,0.23618626544469,0.454936863515234,0.398676020920183,0.437899280963581,0.397032715899443
"582",0.0508746837692529,0.0266558785874194,0.0456107370711247,0.0221143896786997,0.0122804158560735,-0.0113032908712207
"584",0.0148796798933777,0.000500865048011279,-0.0132444914378897,-0.0234203422935604,-0.0583027549347153,-0.0138388287897386
"585",0.0550866522778017,0.0214050601452149,0.174231574611238,0.171335861712216,0.170804749283558,0.14787090138331
"839",0.613903661761922,0.518406296207,0.635074346085734,0.595336039334644,0.712694731758776,0.580351074429793
"845",0.135490833500422,0.142604743097583,0.295641950843944,0.290500392328621,0.276374609968158,0.265165172845972
"854",-0.0112349789086081,0.0790185562624804,0.088177223356779,0.19136554839557,0.144587856096764,0.367480225992308
