"","A","Th_A","A*T","Th_A*T","A*T*D","Th_A*T*PD"
"All",3819.65887579769,3837.35255627148,3802.14566312703,3812.02844806186,3819.62787473341,3815.8755736801
"242",173.938598794294,173.327489357896,165.088739157764,169.726820577068,176.676506752289,181.875599692625
"246",180.157130426534,180.246220247112,185.427400104558,185.361160673528,192.93173962961,194.61201113865
"319",276.688451270798,276.735669850672,282.604953166777,283.003265997542,294.983216051041,294.378773492128
"325",225.968246568089,229.54660596107,229.58903260872,230.95758282101,241.905693653276,241.774221733391
"326",313.240835362967,314.755711829888,316.505706900854,318.636589954252,328.567055977057,332.28857762691
"390",272.616790125414,269.62251100286,275.009951797317,271.327296599995,284.797236033507,280.706738573317
"572",245.028205984349,250.47520900186,245.541324958662,253.109602902041,256.227583889954,260.352247616518
"580",244.532276632538,247.971790667243,244.177656976472,246.685168766956,256.683488348441,257.706884308295
"582",308.185305897144,308.775702387054,313.265070829434,313.631317205914,324.977849386401,323.861556142262
"584",200.399645866887,200.618294973433,205.464790085058,205.657564580199,214.386250446024,214.465238097098
"585",253.121833092291,250.247305441203,253.869194884058,252.582755969254,256.973709529927,259.857222406788
"839",228.396001232042,241.873166973799,234.003989936433,243.03185680762,231.466839217744,251.43664022674
"845",359.64640553577,359.323134460965,362.265082406237,361.382258413864,369.471700426803,372.951816674574
"854",254.032506140243,250.660812231522,256.817971499205,251.119052346228,260.622048648194,256.439735685824
