"","A","Th_A","A+T","Th_A+T","A+T+D","Th_A+T+PD"
"PARL 854",254.032506141907,250.660812231815,253.538339537001,249.329649930229,254.483780643828,245.750545195997
"PARL 845",359.646405540418,359.323134465102,359.496720577198,359.624094059216,362.520779982888,363.043116456177
"PARL 839",228.396001219541,241.873166966042,230.747033800545,241.813659803668,227.487655663834,245.097090906908
"PARL 585",253.121833083643,250.24730543381,250.683695829345,249.321784916178,253.815873672909,252.473938583132
"PARL 584",200.399645870581,200.618294976711,202.632395995957,202.792429046291,204.594921715886,204.312152369691
"PARL 582",308.18530591127,308.775702402226,310.782011948987,311.371621886455,314.211445896985,314.654735717176
"PARL 580",244.532276617565,247.971790658156,240.84181603977,243.617902313349,243.720926173923,245.986353944472
"PARL 572",245.02820598515,250.475209003134,242.353369763384,249.749309855394,245.625808792601,253.109087323486
"PARL 390",272.616790131978,269.622511008532,272.180519915305,268.580138946299,273.497664659416,271.836946857663
"PARL 326",313.240835353979,314.755711820951,313.889045241376,315.683225892488,316.612463809131,319.108300981096
"PARL 325",225.968246550974,229.546605946624,226.741617497243,227.912432023213,229.915575725972,230.055520703479
"PARL 319",276.688451276853,276.735669858928,279.400083757621,279.731184960116,282.663344495389,281.674660931994
"PARL 246",180.157130428823,180.246220242427,182.923204529878,182.922604330857,185.161191030597,185.567556531616
"PARL 242",173.938598806534,173.327489370725,168.845969650036,168.776914606097,170.93074561465,171.813342413724
"All",3819.65887583067,3837.35255630677,3796.43626934016,3806.50241172939,3796.87034592033,3794.58040428173
