"","A","Th_A","A+T","A*T","Th_A+T","Th_A*T","A+T+D","A*T*D","Th_A+T+PD","Th_A*T*PD"
"All",3819.65887579769,3837.35255627148,3796.43626930969,3802.14566312703,3806.50241169756,3812.02844806186,3796.87034588909,3819.62787473341,3794.58040423903,3815.8755736801
"242",173.938598794294,173.327489357896,168.845969639609,165.088739157764,168.776914600043,169.726820577068,170.930745607199,176.676506752289,171.813342409255,181.875599692625
"246",180.157130426534,180.246220247112,182.923204527635,185.427400104558,182.922604335343,185.361160673528,185.16119102981,192.93173962961,185.567556536029,194.61201113865
"319",276.688451270798,276.735669850672,279.400083751385,282.604953166777,279.7311849517,283.003265997542,282.663344489098,294.983216051041,281.674660919633,294.378773492128
"325",225.968246568089,229.54660596107,226.741617511031,229.58903260872,227.912432030843,230.95758282101,229.91557573973,241.905693653276,230.055520706326,241.774221733391
"326",313.240835362967,314.755711829888,313.889045252188,316.505706900854,315.6832259032,318.636589954252,316.61246382041,328.567055977057,319.108300990604,332.28857762691
"390",272.616790125414,269.62251100286,272.1805199117,275.009951797317,268.58013894366,271.327296599995,273.497664656411,284.797236033507,271.836946855119,280.706738573317
"572",245.028205984349,250.47520900186,242.35336976381,245.541324958662,249.74930985428,253.109602902041,245.625808793099,256.227583889954,253.109087322295,260.352247616519
"580",244.532276632538,247.971790667243,240.841816057288,244.177656976472,243.617902323126,246.685168766956,243.720926192413,256.683488348441,245.986353953391,257.706884308295
"582",308.185305897144,308.775702387054,310.782011934608,313.265070829434,311.371621871607,313.631317205914,314.211445882544,324.977849386401,314.654735702255,323.861556142263
"584",200.399645866887,200.618294973433,202.632395992482,205.464790085058,202.792429043157,205.657564580199,204.594921712034,214.386250446024,204.312152363106,214.465238097098
"585",253.121833092291,250.247305441203,250.683695838822,253.869194884058,249.321784924559,252.582755969254,253.815873682705,256.973709529927,252.473938594012,259.857222406788
"839",228.396001232042,241.873166973799,230.747033813899,234.003989936433,241.813659814888,243.03185680762,227.487655675698,231.466839217744,245.097090916974,251.436640226739
"845",359.64640553577,359.323134460965,359.496720573468,362.265082406237,359.624094056042,361.382258413864,362.520779979238,369.471700426803,363.043116452903,372.951816674574
"854",254.032506140243,250.660812231522,253.538339535558,256.817971499205,249.329649929815,251.119052346228,254.483780642443,260.622048648194,245.75054522862,256.439735685824
