"","A","Th_A","A*T","Th_A*T","A*T*D","Th_A*T*PD"
"All",4174.54992677286,4192.92329052101,4150.01583472229,4159.61411668298,4168.96165154469,4163.66043144086
"242",249.835823255047,250.742139580889,216.575829501306,226.595103733474,209.162569530765,214.726559512048
"246",199.398020429178,199.347465855522,204.001666360778,203.350715586724,209.010285296999,210.56689918455
"319",315.861480867325,315.400028098066,321.583521932263,321.560473192329,334.535727776529,332.67981737019
"325",243.159945126,246.246766107309,247.963299429311,249.503637933659,258.978396093001,260.414275381803
"326",322.092929707509,323.707423626694,325.390750504597,327.599777607279,337.782244748039,341.290329820118
"390",302.971822625306,300.740624659867,304.695388999266,302.573742188402,316.001395666439,311.947701904992
"572",259.442388467436,265.242614323205,259.712345123249,267.676910945361,270.363191786754,276.053487639592
"580",266.825078064845,270.487744126793,265.530628889463,268.629546163565,278.316599731468,281.041460028067
"582",316.950995643527,317.757294826284,322.199118607548,322.463173735337,334.394182538215,332.990705927888
"584",219.969484009936,220.259294057031,225.373352436524,225.571348107987,235.13616027001,234.744601025139
"585",290.375937718139,291.461699706941,289.818714598627,291.263811075015,300.52783370612,300.584372479541
"839",261.179651762686,275.595305914655,264.93136081815,275.803732105195,261.401330968071,282.916935168261
"845",374.660673011425,374.396260655867,373.562497499914,373.112024255815,379.982937997274,383.852563838961
"854",262.525286089599,259.627166578126,265.008233361682,259.792835832062,267.577454351224,263.246907937363
