"","A","Th_A","A+T","Th_A+T","A+T+D","Th_A+T+PD"
"All",4174.54992677286,4192.92329052101,4144.15922063143,4153.72841848913,4148.71677756793,4141.54478513135
"242",249.835823255047,250.742139580889,236.893940527503,236.67183210148,237.134620136351,236.285520819703
"246",199.398020429178,199.347465855522,201.098669235421,200.627729168392,202.260430739367,202.535330276694
"319",315.861480867325,315.400028098066,318.398531481285,318.154832532129,321.366309070176,319.476655648638
"325",243.159945126,246.246766107309,244.970122334884,247.090140633125,248.082662263734,249.864377226854
"326",322.092929707509,323.707423626694,323.547759691621,325.016928369234,326.993639948329,328.429958289829
"390",302.971822625306,300.740624659867,301.390840178388,299.219460357368,302.984642209277,302.349501673259
"572",259.442388467436,265.242614323205,256.435506296207,264.251924347965,259.800562689822,267.678883594314
"580",266.825078064845,270.487744126793,262.07111607872,265.214547159198,265.398871011215,267.644691517728
"582",316.950995643527,317.757294826284,319.508866850503,320.287141400473,322.950151402551,323.705233938761
"584",219.969484009936,220.259294057031,222.38502886391,222.584883751425,225.038446707148,224.179996632847
"585",290.375937718139,291.461699706941,288.543949651783,288.652466847958,290.97891942607,291.824673409193
"839",261.179651762686,275.595305914655,261.798021589527,272.546103647069,256.892558870548,275.9798995851
"845",374.660673011425,374.396260655867,370.485556416264,370.718296391147,373.691954788345,374.183855831599
"854",262.525286089599,259.627166578126,261.663501404688,257.940442183637,261.990361738317,252.632332556849
