"","A","Th_A","A+T","A*T","Th_A+T","Th_A*T","A+T+D","A*T*D","Th_A+T+PD","Th_A*T*PD"
"PARL 854",262.525286090738,259.627166578366,261.663501405626,265.008233362553,257.940442184087,259.792835834037,261.990361740001,267.577454354766,252.632332525509,263.2469079021
"PARL 845",374.660673015264,374.396260659371,370.485556419547,373.562497502832,370.718296393873,373.112024258837,373.69195479151,379.982938001403,374.18385583433,383.852563845241
"PARL 839",261.179651751029,275.595305904815,261.79802157543,264.931360803948,272.546103633373,275.803732091691,256.892558855595,261.401330955319,275.979899571536,282.916935160872
"PARL 585",290.375937708071,291.461699697196,288.543949641904,289.818714593065,288.652466838141,291.263811067143,290.978919415986,300.527833699923,291.824673398949,300.58437246039
"PARL 584",219.96948401406,220.259294060879,222.38502886778,225.373352440351,222.584883755098,225.571348111635,225.038446711039,235.136160273002,224.179996639157,234.74460103219
"PARL 582",316.950995658161,317.757294842521,319.508866865386,322.199118622612,320.287141416198,322.463173750161,322.950151417538,334.394182554571,323.705233954636,332.99070594614
"PARL 580",266.825078048599,270.487744117214,262.071116060021,265.530628870807,265.21454715015,268.62954615489,265.398870992545,278.316599710802,267.644691508916,281.041460020666
"PARL 572",259.442388468256,265.242614324487,256.435506295807,259.712345122766,264.251924349095,267.676910946455,259.800562689356,270.363191786481,267.678883595535,276.053487630356
"PARL 390",302.97182263259,300.740624665577,301.390840181836,304.695389002608,299.219460359509,302.573742190477,302.98464221182,316.001395668242,302.349501673402,311.947701928514
"PARL 326",322.092929698226,323.707423617471,323.547759680899,325.390750493869,325.016928358596,327.599777597215,326.993639937584,337.782244735294,328.42995827672,341.29032981274
"PARL 325",243.159945108452,246.246766092475,244.9701223192,247.963299414815,247.09014062159,249.50363792858,248.082662247552,258.978396080111,249.864377219443,260.414275383434
"PARL 319",315.861480873447,315.400028105855,318.39853148764,321.583521938724,318.15483254018,321.560473200267,321.366309076747,334.535727783517,319.476655660917,332.679817382468
"PARL 246",199.398020429414,199.347465846832,201.098669236125,204.001666361701,200.627729160381,203.350715578572,202.260430738363,209.010285301587,202.535330268592,210.566899182062
"PARL 242",249.835823290961,250.742139616366,236.893940568177,216.575829546713,236.671832138818,226.595103775086,237.134620174727,209.162569551305,236.285520850393,214.726559548199
"All",4174.54992680492,4192.92329055724,4144.15922066035,4150.01583475113,4153.72841851915,4159.61411671258,4148.71677759708,4168.96165157462,4141.54478517614,4163.66043148768
