"","A","Th_A","A+T","Th_A+T","A+T+D","Th_A+T+PD"
"All",5411.25219805758,5466.05957111059,5099.72639905608,5068.72088292479,5095.20069638902,5071.477786981
"242",307.753839714241,302.324113986105,297.212800453118,289.947056233551,299.466508896074,292.386998928449
"246",331.357801237936,341.745012645463,313.29867246084,331.264873943972,316.523404067727,334.629570483156
"319",373.010337333129,352.139755519223,367.76621905995,347.549253657931,352.319834183432,350.542191679147
"325",385.418720795236,404.775161816193,377.704630331057,396.509220327282,380.268118967974,398.446969999001
"326",365.44276330042,376.198961261136,324.627109231648,363.215413260328,326.323732987159,366.519348434022
"390",399.967617404713,389.52894590162,386.740407094403,361.840829378568,368.587210175562,364.78973184565
"572",381.805819680598,386.26604368742,357.871270525688,374.73066063798,357.634835274328,378.093485799279
"580",361.461076973727,368.504040343706,334.029500811495,341.232359740596,337.04246095013,344.032003265261
"582",374.753924667237,373.705446107821,358.274190687817,364.062285458655,358.285570488714,366.547786278094
"584",373.228836593556,390.528466789719,355.11716245113,371.410882001544,351.502116472924,374.408594809014
"585",368.077383049862,361.692267225467,352.36619894371,337.72379923772,343.556425847826,341.030349456451
"839",338.926371545901,360.934869591966,331.659819110685,342.287173929898,317.834542803848,345.258665236314
"845",381.011372336703,393.174085888036,353.007769262552,385.022468846414,356.158780513203,388.450268127058
"854",375.327714906485,360.791933427382,365.910282056569,340.496560866659,345.379571528373,342.153303459069
