"","A","Th_A","A+T","A*T","Th_A+T","Th_A*T","A+T+D","A*T*D","Th_A+T+PD","Th_A*T*PD"
"All",5411.25219805758,5466.05957113325,5099.72639905608,5043.74741074368,5068.72088295976,4984.50062332349,5095.20069638902,5024.3062698044,5071.47778702199,4986.39987220169
"242",307.753839714241,302.32411400628,297.212800453118,290.331944720942,289.947056254815,289.719576264419,299.466508896074,297.753200411321,292.386998951087,292.965865410322
"246",331.357801237936,341.745012642452,313.29867246084,309.14634638746,331.26487394359,329.368327154847,316.523404067727,319.76730781692,334.629570482941,338.920017633277
"319",373.010337333129,352.139755524418,367.76621905995,370.914756353302,347.549253668071,350.881124624525,352.319834183432,353.023389499787,350.542191687821,362.580120594635
"325",385.418720795236,404.775161812539,377.704630331057,380.400565701698,396.509220329587,399.326037469544,380.268118967974,388.879911777921,398.446969998878,411.374592839355
"326",365.44276330042,376.198961270704,324.627109231648,321.52699501498,363.215413273547,363.200748250959,326.323732987159,330.360271622866,366.519348448807,372.007563347017
"390",399.967617404713,389.528945902487,386.740407094403,384.7907304718,361.840829379663,360.898910266885,368.587210175562,369.840553431522,364.789731845687,368.76565374035
"572",381.805819680598,386.266043681528,357.871270525688,355.357183970798,374.730660631731,376.961296269377,357.634835274328,361.869888675722,378.093485792439,387.478018746943
"580",361.461076973727,368.504040348823,334.029500811495,337.325278428926,341.232359752744,344.069018059322,337.04246095013,349.264788651911,344.032003278062,351.641054049284
"582",374.753924667237,373.705446111955,358.274190687817,361.568721643892,364.062285452743,367.491007204091,358.285570488714,364.318654174222,366.547786270725,375.964950016005
"584",373.228836593556,390.528466785344,355.11716245113,357.231564981969,371.410882003626,372.295903292839,351.502116472924,358.481173837014,374.408594811726,379.952046533894
"585",368.077383049862,361.692267229801,352.36619894371,350.35705156456,337.723799237117,340.9462399975,343.556425847826,347.785758903328,341.030349456346,352.132855211802
"839",338.926371545901,360.934869589724,331.659819110685,334.737642324022,342.287173918568,337.795882001891,317.834542803848,321.623372366281,345.258665227679,343.48583623137
"845",381.011372336703,393.174085884907,353.007769262552,356.427420456601,385.022468841249,386.314840354074,356.158780513203,358.133667405521,388.450268122405,393.62956724785
"854",375.327714906485,360.791933427058,365.910282056569,356.564801924114,340.496560870689,341.520816760791,345.379571528373,346.86821246697,342.153303476904,338.603281020775
