"","A","Th_A","A+T","Th_A+T","A+T+D","Th_A+T+PD"
"All",5921.5409920817,6026.92424545252,5594.36261452441,5637.85553826874,5583.32772828037,5640.94343105276
"242",377.980124600457,379.129693394695,351.669514652489,349.439286005867,351.816679575327,346.787134822705
"246",363.279051015163,375.369131569065,342.709542967134,362.476116077481,346.164776336198,365.734895315164
"319",428.196509254159,430.199395012767,420.340655124372,427.654618454027,414.989010662513,426.352553697512
"325",417.096394820806,432.541024008437,403.15645249545,421.995747379426,403.833630144394,424.672163300669
"326",379.918296546929,387.623261195951,373.438144408735,383.393368451603,362.922278248704,385.760018080673
"390",456.129468685076,440.839735725992,440.747657080644,411.64468059012,428.339892350953,414.066316401781
"572",404.91629304228,410.17529296713,379.209452001974,397.115992294822,378.944047138299,400.543612377746
"580",395.66562166503,403.356972272238,367.388487852631,376.009032961205,370.036008003342,378.446386057156
"582",385.95707509693,384.508753889498,370.372588683427,374.624032331275,373.233632747151,376.962013276682
"584",396.259845393249,417.267776546953,376.349761024213,398.713509947642,379.463184085658,401.855410792752
"585",418.184922042463,412.325511262891,408.447442680564,383.635980998558,398.503949682418,386.597046257828
"839",402.858929759485,435.862201353786,391.786311737017,423.319177034397,374.372648527564,423.173587816904
"845",397.330553677364,408.205099258837,363.879956363477,396.15695590586,367.190823438094,399.619842206202
"854",386.194299829451,371.265969983375,376.646504910416,350.153556849292,375.531233192775,352.390384044891
