"","A","Th_A","A+T","A*T","Th_A+T","Th_A*T","A+T+D","A*T*D","Th_A+T+PD","Th_A*T*PD"
"All",5921.5409920817,6026.92424546918,5594.36261452441,5531.80662284914,5637.85553830549,5551.47701453049,5583.32772828037,5518.5526175638,5640.94343108935,5540.17335825774
"242",377.980124600457,379.129693382911,351.669514652489,333.397410753018,349.439285989745,346.327913368159,351.816679575327,344.11389945833,346.787134809216,340.439881455808
"246",363.279051015163,375.369131571974,342.709542967134,343.92984660532,362.476116077611,363.014124030629,346.164776336198,354.395452708812,365.734895314278,369.263628381526
"319",428.196509254159,430.199395012219,420.340655124372,423.80284984202,427.654618453136,424.622821047165,414.989010662513,407.446719458045,426.352553691952,411.024212619366
"325",417.096394820806,432.541024012581,403.15645249545,406.621423708081,421.995747378274,424.599571656609,403.833630144394,411.853574324557,424.672163300483,436.863167677264
"326",379.918296546929,387.623261185775,373.438144408735,358.965022927132,383.393368439068,378.49428663488,362.922278248704,340.546873962719,385.760018067235,382.526665699225
"390",456.129468685076,440.839735724011,440.747657080644,441.423342956398,411.64468058744,408.851505755974,428.339892350953,422.556849130603,414.066316399704,418.605768532535
"572",404.91629304228,410.175292973222,379.209452001974,377.014080387341,397.115992301528,399.947748479415,378.944047138299,383.063392974033,400.543612385188,410.020903124781
"580",395.66562166503,403.356972266879,367.388487852631,370.346011412174,376.009032945221,379.27757468792,370.036008003342,381.39923062474,378.446386039078,385.349742302647
"582",385.95707509693,384.508753885302,370.372588683427,372.508150020238,374.624032337843,377.997584082802,373.233632747151,375.334334194972,376.962013284361,386.365681878511
"584",396.259845393249,417.267776551305,376.349761024213,378.340092271279,398.713509944471,399.067990481806,379.463184085658,388.513143354234,401.855410790091,402.261775434133
"585",418.184922042463,412.325511256863,408.447442680564,408.95768667564,383.635980998242,385.954445986845,398.503949682418,397.686126304079,386.597046257575,395.313833427558
"839",402.858929759485,435.862201375791,391.786311737017,394.856069075619,423.319177076628,417.883765555022,374.372648527564,380.404317525691,423.173587836669,411.11548740879
"845",397.330553677364,408.205099261213,363.879956363477,367.253126794949,396.156955911226,397.38701921863,367.190823438094,371.830116051357,399.619842211223,405.266116617169
"854",386.194299829451,371.265969983427,376.646504910416,366.850214955522,350.153556845251,351.132519518128,375.531233192775,357.935349328377,352.390384031766,349.45692768192
