"","A","Th_A","A+T","A*T","Th_A+T","Th_A*T","A+T+D","A*T*D","Th_A+T+PD","Th_A*T*PD"
"All",4174.54992677286,4192.92329052101,4144.15922063143,4150.01583472229,4153.72841848913,4159.61411668298,4148.71677756793,4168.96165154469,4141.54478513135,4163.66043144086
"242",249.835823255047,250.742139580889,236.893940527503,216.575829501306,236.67183210148,226.595103733474,237.134620136351,209.162569530765,236.285520819703,214.726559512048
"246",199.398020429178,199.347465855522,201.098669235421,204.001666360778,200.627729168392,203.350715586724,202.260430739367,209.010285296999,202.535330276694,210.56689918455
"319",315.861480867325,315.400028098066,318.398531481285,321.583521932263,318.154832532129,321.560473192329,321.366309070176,334.535727776529,319.476655648638,332.67981737019
"325",243.159945126,246.246766107309,244.970122334884,247.963299429311,247.090140633125,249.503637933659,248.082662263734,258.978396093002,249.864377226854,260.414275381803
"326",322.092929707509,323.707423626694,323.547759691621,325.390750504597,325.016928369234,327.599777607279,326.993639948329,337.782244748039,328.429958289829,341.290329820118
"390",302.971822625306,300.740624659867,301.390840178388,304.695388999266,299.219460357368,302.573742188402,302.984642209277,316.001395666439,302.349501673259,311.947701904992
"572",259.442388467436,265.242614323205,256.435506296207,259.712345123249,264.251924347965,267.676910945361,259.800562689822,270.363191786755,267.678883594314,276.053487639591
"580",266.825078064845,270.487744126793,262.07111607872,265.530628889463,265.214547159198,268.629546163565,265.398871011215,278.316599731468,267.644691517728,281.041460028067
"582",316.950995643527,317.757294826284,319.508866850503,322.199118607548,320.287141400473,322.463173735337,322.950151402551,334.394182538215,323.705233938761,332.990705927888
"584",219.969484009936,220.259294057031,222.38502886391,225.373352436524,222.584883751425,225.571348107987,225.038446707148,235.13616027001,224.179996632847,234.744601025139
"585",290.375937718139,291.461699706941,288.543949651783,289.818714598627,288.652466847958,291.263811075015,290.97891942607,300.52783370612,291.824673409193,300.584372479541
"839",261.179651762686,275.595305914655,261.798021589527,264.93136081815,272.546103647069,275.803732105195,256.892558870548,261.401330968071,275.9798995851,282.916935168262
"845",374.660673011425,374.396260655867,370.485556416264,373.562497499914,370.718296391147,373.112024255815,373.691954788345,379.982937997274,374.183855831599,383.852563838961
"854",262.525286089599,259.627166578126,261.663501404688,265.008233361682,257.940442183637,259.792835832062,261.990361738317,267.577454351224,252.632332556849,263.246907937363
