"","A","Th_A","A*T","Th_A*T","A*T*D","Th_A*T*PD"
"PARL 854",0.108557279907745,0.442230939118987,0.581156505365426,0.742193968826334,0.76910763544868,0.823143095615796
"PARL 845",0.906779532351361,0.8619918272991,0.963698901441318,0.904802058048153,0.971091497522812,0.9091540892898
"PARL 839",0.6574975412358,0.500294049032937,0.752462414063031,0.819403396895773,0.889325605381117,0.834364765860684
"PARL 585",0.53928366435277,0.633227164740242,0.791082038161483,0.850717387934057,0.857918319344214,0.834055142787779
"PARL 584",0.918752849171056,0.855374145540428,0.959080167535102,0.932389759570023,0.967964983318846,0.934468867676467
"PARL 582",0.698489951844679,0.708517067362782,0.830409685225622,0.794709287335483,0.860321878509197,0.796629872717714
"PARL 580",0.578528156756959,0.462669275129656,0.843004396610502,0.801902259666489,0.82270343480651,0.80756392394122
"PARL 572",0.635813841619495,0.577436684648088,0.870535663324813,0.733987705573579,0.879209612577816,0.716372702451716
"PARL 390",0.415622959540259,0.597483256309439,0.709807987670903,0.876373673201719,0.873163321585359,0.877940212345277
"PARL 326",0.89281220413729,0.848352837112826,0.977626972287083,0.914186980802403,0.977577878309704,0.914072057223494
"PARL 325",0.89463483197053,0.79913223460299,0.92348232568258,0.856207568768758,0.923772086033963,0.838654113698856
"PARL 319",0.535272380250532,0.779461220925739,0.631795904438951,0.819965131777509,0.855113258317726,0.796174513340731
"PARL 246",0.787479120533042,0.695941552798814,0.915406135008996,0.830106558166002,0.908713712436323,0.823302566452264
"PARL 242",0.88186114982125,0.902686098276077,0.94585431991397,0.947025646964521,0.94738425652339,0.955653263072752
"All",0.821666326609857,0.802174628215711,0.928986490612644,0.94018103081015,0.935500364677662,0.942760434046257
