"","A","Th_A","A+T","Th_A+T","A+T+D","Th_A+T+PD"
"All",0.821666326609857,0.802174628226617,0.917597335047802,0.925676433274235,0.919491243842654,0.926082759892506
"242",0.88186114982125,0.902686098346195,0.925140849807691,0.942250338641204,0.924968154634826,0.94173083876554
"246",0.787479120533042,0.695941552767252,0.89458147918212,0.804127775841995,0.89090238352243,0.796311144472111
"319",0.535272380250532,0.779461220966659,0.644197806258566,0.827164467655015,0.810472709238817,0.822131271758665
"325",0.89463483197053,0.799132234578526,0.924563581929185,0.858809530935846,0.923819398266887,0.860359877305277
"326",0.89281220413729,0.848352837159633,0.973363940065037,0.907514679435959,0.973882917651763,0.904490821511951
"390",0.415622959540259,0.597483256321905,0.66358031846776,0.861746521639478,0.837310144403105,0.857943987243488
"572",0.635813841619495,0.577436684565106,0.848157886506649,0.733647418783039,0.860323761703707,0.723756650493228
"580",0.578528156756959,0.462669275224454,0.848669946962461,0.806003973090442,0.844528027500581,0.802154944822456
"582",0.698489951844679,0.708517067401653,0.835729154930781,0.80200747163055,0.847452272596481,0.800861491815049
"584",0.918752849171056,0.855374145519338,0.95886877026317,0.929197687288036,0.966194171451151,0.927456781045073
"585",0.53928366435277,0.633227164797014,0.75728638219653,0.856125790290463,0.83613184723449,0.850268282316516
"839",0.6574975412358,0.500294048991442,0.761577511978786,0.769069131539764,0.870789453078506,0.761906081610824
"845",0.906779532351361,0.861991827285168,0.964979177543595,0.901635982973392,0.964012120561152,0.898013230888117
"854",0.108557279907745,0.442230939113159,0.390053915830833,0.731306020614817,0.708020543525581,0.736879978990692
