"","A","Th_A","A+T","A*T","Th_A+T","Th_A*T","A+T+D","A*T*D","Th_A+T+PD","Th_A*T*PD"
"PARL 854",0.108557279907745,0.442230939118987,0.390053915830833,0.581156505365426,0.731306020579891,0.742193968826334,0.708020543525581,0.76910763544868,0.736879978839312,0.823143095615796
"PARL 845",0.906779532351361,0.8619918272991,0.964979177543595,0.963698901441318,0.901635982989779,0.904802058048153,0.964012120561152,0.971091497522812,0.898013230903424,0.9091540892898
"PARL 839",0.6574975412358,0.500294049032937,0.761577511978786,0.752462414063031,0.769069131636667,0.819403396895773,0.870789453078506,0.889325605381117,0.761906081686965,0.834364765860684
"PARL 585",0.53928366435277,0.633227164740242,0.75728638219653,0.791082038161483,0.85612579029356,0.850717387934057,0.83613184723449,0.857918319344214,0.850268282317078,0.834055142787779
"PARL 584",0.918752849171056,0.855374145540428,0.95886877026317,0.959080167535102,0.929197687283123,0.932389759570023,0.966194171451151,0.967964983318846,0.927456781038515,0.934468867676467
"PARL 582",0.698489951844679,0.708517067362782,0.835729154930781,0.830409685225622,0.802007471668308,0.794709287335483,0.847452272596481,0.860321878509197,0.800861491862389,0.796629872717714
"PARL 580",0.578528156756959,0.462669275129656,0.848669946962461,0.843004396610502,0.806003973009178,0.801902259666489,0.844528027500581,0.82270343480651,0.802154944735125,0.80756392394122
"PARL 572",0.635813841619495,0.577436684648088,0.848157886506649,0.870535663324813,0.73364741883852,0.733987705573579,0.860323761703707,0.879209612577816,0.72375665055621,0.716372702451716
"PARL 390",0.415622959540259,0.597483256309439,0.66358031846776,0.709807987670903,0.861746521634075,0.876373673201719,0.837310144403105,0.873163321585359,0.8579439872433,0.877940212345277
"PARL 326",0.89281220413729,0.848352837112826,0.973363940065037,0.977626972287083,0.907514679396522,0.914186980802403,0.973882917651763,0.977577878309704,0.904490821466397,0.914072057223494
"PARL 325",0.89463483197053,0.79913223460299,0.924563581929185,0.92348232568258,0.858809530924998,0.856207568768758,0.923819398266887,0.923772086033963,0.860359877305848,0.838654113698856
"PARL 319",0.535272380250532,0.779461220925739,0.644197806258566,0.631795904438951,0.827164467592423,0.819965131777509,0.810472709238817,0.855113258317726,0.822131271703567,0.796174513340731
"PARL 246",0.787479120533042,0.695941552798814,0.89458147918212,0.915406135008996,0.804127775844571,0.830106558166002,0.89090238352243,0.908713712436323,0.796311144473626,0.823302566452264
"PARL 242",0.88186114982125,0.902686098276077,0.925140849807691,0.94585431991397,0.942250338597346,0.947025646964521,0.924968154634826,0.94738425652339,0.941730838718429,0.955653263072752
"All",0.821666326609857,0.802174628215711,0.917597335047802,0.928986490612644,0.925676433267911,0.94018103081015,0.919491243842654,0.935500364677662,0.926082759885135,0.942760434046257
