"","A","Th_A","A+T","A*T","Th_A+T","Th_A*T","A+T+D","A*T*D","Th_A+T+PD","Th_A*T*PD"
"PARL 854",0.110270705886064,0.4419732251389,0.38713421385427,0.580610963255421,0.732199757408391,0.743373686014208,0.449910607021393,0.759878962549911,0.733085265265074,0.81576862421284
"PARL 845",0.890520138091669,0.846212747157092,0.96426942511936,0.963100226592235,0.90202983464342,0.905378043405502,0.963171999816253,0.967793444571794,0.898539935595224,0.908435372503375
"PARL 839",0.748892002517239,0.512566155139774,0.837119072464762,0.833059456580297,0.694245536462708,0.760222158052039,0.913781720009087,0.921059080784965,0.717120847658912,0.853190205126169
"PARL 585",0.576329744168601,0.647218506286882,0.709891053850156,0.726038187426486,0.866393575002093,0.866495196974655,0.802387222740576,0.854280118800926,0.863787153046454,0.864692224155757
"PARL 584",0.940759857677462,0.885783332070111,0.970481813643671,0.970805174508642,0.940624973189003,0.944201984536985,0.969762341929006,0.969648892047416,0.939123623797684,0.953359102943111
"PARL 582",0.762485457115254,0.772995732454029,0.864521770557506,0.865396378335884,0.845272025312108,0.8402070143248,0.862309879180546,0.888771541464928,0.845295390969844,0.842988996941792
"PARL 580",0.669664193865507,0.579911905587441,0.873271550482504,0.870813604402738,0.834091133746639,0.829221457955572,0.872059068846534,0.861951774957718,0.833600254951543,0.843812599501378
"PARL 572",0.680730574593192,0.62370286358688,0.867273069659856,0.884822366914937,0.767736327335207,0.764160214419513,0.877662082292741,0.894738231348844,0.759727559839226,0.755583808707715
"PARL 390",0.615095093692507,0.761303671450117,0.779055398256677,0.790271412207178,0.91101712069025,0.924211668458753,0.860654505061418,0.912014677073918,0.910797668611734,0.922234433204297
"PARL 326",0.880035906625077,0.847376726334407,0.909052262665871,0.946226162714775,0.875863002056297,0.901004287180356,0.939147598663174,0.977122506975214,0.875770501217784,0.91505346300782
"PARL 325",0.889401141852539,0.820790694539715,0.933587594296407,0.93121736635264,0.880345091534868,0.879365125359392,0.936956009394707,0.938723911471315,0.879091155864759,0.86612058774658
"PARL 319",0.58684735250925,0.560161633242486,0.699959041297333,0.689277679839453,0.622911333897016,0.681212813781853,0.764086036347767,0.859007842311735,0.663506814553856,0.842330521896302
"PARL 246",0.829273004011378,0.750893433370932,0.916665223733609,0.919537800252963,0.845441702704721,0.853917551919309,0.913717304712894,0.915582781750183,0.840953712220183,0.865656241337871
"PARL 242",0.876963371149653,0.872463049380636,0.949807136742262,0.973645035155076,0.953186191856676,0.960522342301232,0.953135576487523,0.972131956435277,0.959951726916194,0.975154725359201
"All",0.818849700389712,0.776979280663341,0.913859312951538,0.925957585237656,0.907479925505447,0.924567411726239,0.916912202895684,0.931320660807088,0.907893896678781,0.92971553700111
