"","A","Th_A","A*T","Th_A*T","A*T*D","Th_A*T*PD"
"PARL 854",375.327714906485,360.791933427058,356.564801924114,341.520816760791,346.868212466971,338.603281020775
"PARL 845",381.011372336703,393.174085884907,356.427420456601,386.314840354074,358.133667405521,393.62956724785
"PARL 839",338.926371545901,360.934869589724,334.737642324022,337.795882001891,321.623372366281,343.48583623137
"PARL 585",368.077383049862,361.692267229801,350.35705156456,340.9462399975,347.785758903328,352.132855211802
"PARL 584",373.228836593556,390.528466785344,357.231564981969,372.295903292839,358.481173837014,379.952046533894
"PARL 582",374.753924667237,373.705446111955,361.568721643892,367.491007204091,364.318654174222,375.964950016005
"PARL 580",361.461076973727,368.504040348823,337.325278428926,344.069018059322,349.264788651911,351.641054049284
"PARL 572",381.805819680598,386.266043681528,355.357183970798,376.961296269377,361.869888675722,387.478018746943
"PARL 390",399.967617404713,389.528945902487,384.7907304718,360.898910266885,369.840553431522,368.76565374035
"PARL 326",365.44276330042,376.198961270704,321.52699501498,363.200748250959,330.360271622866,372.007563347017
"PARL 325",385.418720795236,404.775161812539,380.400565701698,399.326037469544,388.879911777921,411.374592839355
"PARL 319",373.010337333129,352.139755524418,370.914756353302,350.881124624525,353.023389499787,362.580120594635
"PARL 246",331.357801237936,341.745012642452,309.14634638746,329.368327154847,319.76730781692,338.920017633277
"PARL 242",307.753839714241,302.32411400628,290.331944720942,289.719576264419,297.753200411321,292.965865410322
"All",5411.25219805758,5466.05957113325,5043.74741074368,4984.50062332349,5024.3062698044,4986.39987220169
