"","A","Th_A","A+T","A*T","Th_A+T","Th_A*T","A+T+D","A*T*D","Th_A+T+PD","Th_A*T*PD"
"All",5411.25219805758,5466.05957111059,5099.72639905608,5043.74741074368,5068.72088292479,4984.5006232796,5095.20069638902,5024.3062698044,5071.477786981,4986.39987216659
"242",307.753839714241,302.324113986105,297.212800453118,290.331944720942,289.947056233551,289.71957623958,299.466508896074,297.753200411321,292.386998928449,292.96586537268
"246",331.357801237936,341.745012645463,313.29867246084,309.14634638746,331.264873943972,329.368327158687,316.523404067727,319.76730781692,334.629570483156,338.920017637765
"319",373.010337333129,352.139755519223,367.76621905995,370.914756353302,347.549253657931,350.881124614417,352.319834183432,353.023389499787,350.542191679147,362.580120581665
"325",385.418720795236,404.775161816193,377.704630331057,380.400565701698,396.509220327282,399.326037467126,380.268118967974,388.879911777921,398.446969999001,411.374592843998
"326",365.44276330042,376.198961261136,324.627109231648,321.52699501498,363.215413260328,363.200748236926,326.323732987159,330.360271622866,366.519348434022,372.007563335436
"390",399.967617404713,389.52894590162,386.740407094403,384.7907304718,361.840829378568,360.898910264915,368.587210175562,369.840553431522,364.78973184565,368.765653742134
"572",381.805819680598,386.26604368742,357.871270525688,355.357183970798,374.73066063798,376.961296275863,357.634835274328,361.869888675722,378.093485799279,387.478018761116
"580",361.461076973727,368.504040343706,334.029500811495,337.325278428926,341.232359740596,344.069018045677,337.04246095013,349.264788651911,344.032003265261,351.641054025157
"582",374.753924667237,373.705446107821,358.274190687817,361.568721643892,364.062285458655,367.491007210012,358.285570488714,364.318654174222,366.547786278094,375.964950022104
"584",373.228836593556,390.528466789719,355.11716245113,357.231564981969,371.410882001544,372.295903290174,351.502116472924,358.481173837014,374.408594809014,379.952046525154
"585",368.077383049862,361.692267225467,352.36619894371,350.35705156456,337.72379923772,340.946239997489,343.556425847826,347.785758903328,341.030349456451,352.132855205659
"839",338.926371545901,360.934869591966,331.659819110685,334.737642324022,342.287173929898,337.795882016544,317.834542803848,321.623372366281,345.258665236314,343.485836239562
"845",381.011372336703,393.174085888036,353.007769262552,356.427420456601,385.022468846414,386.314840357871,356.158780513203,358.133667405521,388.450268127058,393.629567229903
"854",375.327714906485,360.791933427382,365.910282056569,356.564801924114,340.496560866659,341.520816754249,345.379571528373,346.868212466971,342.153303459069,338.603280953512
