"","A","Th_A","A*T","Th_A*T","A*T*D","Th_A*T*PD"
"All",5921.5409920817,6026.92424546918,5531.80662284914,5551.47701453049,5518.5526175638,5540.17335825774
"242",377.980124600457,379.129693382911,333.397410753018,346.327913368159,344.11389945833,340.439881455808
"246",363.279051015163,375.369131571974,343.92984660532,363.014124030629,354.395452708812,369.263628381526
"319",428.196509254159,430.199395012219,423.80284984202,424.622821047165,407.446719458045,411.024212619366
"325",417.096394820806,432.541024012581,406.621423708081,424.599571656609,411.853574324557,436.863167677264
"326",379.918296546929,387.623261185775,358.965022927132,378.49428663488,340.546873962719,382.526665699225
"390",456.129468685076,440.839735724011,441.423342956398,408.851505755974,422.556849130603,418.605768532535
"572",404.91629304228,410.175292973222,377.014080387341,399.947748479415,383.063392974033,410.020903124781
"580",395.66562166503,403.356972266879,370.346011412174,379.27757468792,381.39923062474,385.349742302647
"582",385.95707509693,384.508753885302,372.508150020238,377.997584082802,375.334334194972,386.365681878511
"584",396.259845393249,417.267776551305,378.340092271279,399.067990481806,388.513143354234,402.261775434133
"585",418.184922042463,412.325511256863,408.95768667564,385.954445986845,397.68612630408,395.313833427558
"839",402.858929759485,435.862201375791,394.856069075619,417.883765555022,380.404317525691,411.11548740879
"845",397.330553677364,408.205099261213,367.253126794949,397.38701921863,371.830116051357,405.266116617169
"854",386.194299829451,371.265969983427,366.850214955522,351.132519518128,357.935349328377,349.45692768192
