"","A","Th_A","A+T","A*T","Th_A+T","Th_A*T","A+T+D","A*T*D","Th_A+T+PD","Th_A*T*PD"
"PARL 854",386.194299829451,371.265969983375,376.646504910416,366.850214955522,350.153556849292,351.132519524758,375.531233192775,357.935349328377,352.390384044891,349.45692775488
"PARL 845",397.330553677364,408.205099258837,363.879956363477,367.253126794949,396.15695590586,397.387019214722,367.190823438094,371.830116051357,399.619842206202,405.266116622326
"PARL 839",402.858929759485,435.862201353786,391.786311737017,394.856069075619,423.319177034397,417.88376551906,374.372648527564,380.404317525691,423.173587816904,411.115487389321
"PARL 585",418.184922042463,412.325511262891,408.447442680564,408.95768667564,383.635980998558,385.954445984618,398.503949682418,397.68612630408,386.597046257828,395.313833433245
"PARL 584",396.259845393249,417.267776546953,376.349761024213,378.340092271279,398.713509947642,399.067990485843,379.463184085658,388.513143354234,401.855410792752,402.261775443999
"PARL 582",385.95707509693,384.508753889498,370.372588683427,372.508150020238,374.624032331275,377.997584076446,373.233632747151,375.334334194972,376.962013276682,386.365681872216
"PARL 580",395.66562166503,403.356972272238,367.388487852631,370.346011412174,376.009032961205,379.277574702868,370.036008003342,381.39923062474,378.446386057156,385.349742323678
"PARL 572",404.91629304228,410.17529296713,379.209452001974,377.014080387341,397.115992294822,399.947748472582,378.944047138299,383.063392974033,400.543612377746,410.020903110949
"PARL 390",456.129468685076,440.839735725992,440.747657080644,441.423342956398,411.64468059012,408.851505760629,428.339892350953,422.556849130603,414.066316401781,418.605768535516
"PARL 326",379.918296546929,387.623261195951,373.438144408735,358.965022927132,383.393368451603,378.494286647801,362.922278248704,340.546873962719,385.760018080673,382.526665710741
"PARL 325",417.096394820806,432.541024008437,403.15645249545,406.621423708081,421.995747379426,424.599571658607,403.833630144394,411.853574324557,424.672163300669,436.863167679153
"PARL 319",428.196509254159,430.199395012767,420.340655124372,423.80284984202,427.654618454027,424.622821048168,414.989010662513,407.446719458045,426.352553697512,411.02421262893
"PARL 246",363.279051015163,375.369131569065,342.709542967134,343.92984660532,362.476116077481,363.014124026647,346.164776336198,354.395452708812,365.734895315164,369.263628378556
"PARL 242",377.980124600457,379.129693394695,351.669514652489,333.397410753018,349.439286005867,346.327913396188,351.816679575327,344.11389945833,346.787134822705,340.439881498066
"All",5921.5409920817,6026.92424545252,5594.36261452441,5531.80662284914,5637.85553826874,5551.47701451885,5583.32772828037,5518.5526175638,5640.94343105276,5540.17335828013
