"","W","H","W^2","H^2","W^2+H^2"
"PARL 854",0.171890375563499,0.248198117041211,0.173714485326867,0.231932569711366,0.277061576195336
"PARL 845",0.770189036051796,0.851775233099359,0.777802355940622,0.869313656799574,0.931243768437713
"PARL 839",0.581982892805101,0.64915315264923,0.522101955432972,0.649224568376218,0.746049334982439
"PARL 585",0.326945314623771,0.66295008590962,0.330556742954763,0.679370113413775,0.668054935569579
"PARL 584",0.825293017391069,0.775632732178576,0.825453961997699,0.794309010602342,0.904732567070907
"PARL 582",0.741660225140109,0.372475714346377,0.731861583809572,0.348164957451423,0.489751754180595
"PARL 580",0.415223794682471,0.547081617223885,0.411941397135035,0.549422292773741,0.644039623240065
"PARL 572",0.644995813126378,0.695152983326801,0.6529707331024,0.711591363200525,0.766905343438871
"PARL 390",0.649503867808657,0.583360250201468,0.644818893842742,0.583300242406068,0.789432431878386
"PARL 326",0.807133943091072,0.697359888362757,0.812540155921784,0.700478493376652,0.829532116983034
"PARL 325",0.795319351939619,0.4270420394168,0.796408237702515,0.428722643436675,0.706903966424937
"PARL 319",0.472924663529052,0.0172720567526998,0.45349183157333,0.0528772118717513,0.0919450888979304
"PARL 246",0.582284213335944,0.422504856313672,0.593451463955677,0.425108554500935,0.668810751062832
"PARL 242",0.77640186915787,0.67404590090417,0.769577992767726,0.689618054588172,0.792413915058291
"All",0.620691262409625,0.404692588531189,0.609410024257625,0.383117797933525,0.644921522203079
