"","W","H","W^2","H^2","W^2+H^2"
"PARL 854",360.454985106345,357.141031272371,360.374274038328,357.735256641044,356.239673397353
"PARL 845",364.797096573373,351.956813560036,364.006521134777,347.872929161717,328.328836300937
"PARL 839",307.891693213009,318.453739143273,309.960271352824,318.933284057625,306.962211244461
"PARL 585",337.487532382435,319.145868469917,336.977150243854,317.543408084267,316.967077306281
"PARL 584",355.347332240284,346.36154777892,356.253696723508,343.719532631061,322.649555780245
"PARL 582",315.815808795018,346.630967257364,314.445980789119,346.734309485355,340.847509284238
"PARL 580",328.670071121145,320.772154985468,328.892340860183,320.928826741588,315.352117855019
"PARL 572",338.605597769233,333.308357043984,337.969158127498,330.982972066261,325.670418738161
"PARL 390",339.688677861943,345.283738244516,339.25545459603,345.341277817089,328.703774017878
"PARL 326",319.806634878301,325.416553984602,319.268450603367,325.512381028938,308.715774216205
"PARL 325",346.398986071752,378.334002830377,345.643593495567,378.123330782895,358.043035146201
"PARL 319",318.725185584925,329.048373244014,319.929158587655,329.565183543852,327.465565382167
"PARL 246",318.058658531102,330.204417174624,317.774337916243,330.57809262482,316.227318220061
"PARL 242",298.874711392929,305.829658455119,300.144218392007,305.628654997162,294.118290702974
"All",4968.1031779437,5156.6544479106,4974.83123596388,5178.11411563394,4942.93327625082
