"","W","H","W^2","H^2","W^2+H^2"
"All",5461.77099001387,5663.24615816638,5474.8716078359,5679.15942751725,5432.26378011162
"242",344.523478781743,356.584476838387,345.485464698468,355.01798243611,342.145742428539
"246",354.051619831737,364.416380411145,353.184485645189,364.271778791253,346.624058103507
"319",389.690442015268,409.626084522793,390.849026416098,408.445170114962,407.097205528067
"325",368.145244077488,401.084808770585,367.974552029006,400.990808233279,379.634823751505
"326",330.020330038699,344.437879059001,329.110528926361,344.106419033398,326.069960991006
"390",386.886592178276,392.41850474665,387.311492859303,392.4231133112,370.581213586964
"572",358.927721283233,354.053496728918,358.200666423026,352.279681886111,345.465802530824
"580",365.041006708573,356.864453740637,365.220123145134,356.698649403471,349.15589324922
"582",332.42073879857,360.820953108266,333.6120236046,362.037246074544,354.200632830045
"584",377.606059959348,385.611631549859,377.576567141976,382.830533739702,358.200550668325
"585",386.463276479714,364.332218877724,386.291110874529,362.734024452479,363.843849413066
"839",382.949470385032,377.519120960562,387.099597116843,377.512810193044,367.499617781414
"845",376.566522271571,362.53365001183,375.488448647636,358.503899884333,337.952451815277
"854",371.229922131875,368.136395522069,371.159356721349,368.821345711537,366.883634407694
