"","H","W","T","HW","HW+T"
"PARL 854",373.3476048345,348.203919897796,374.483492644753,360.791933427382,359.200030297399
"PARL 845",404.788390799288,419.136421811887,450.157347775246,393.174085888036,392.007147814374
"PARL 839",376.375242545507,360.708027408722,374.147889293613,360.934869591966,359.853057012574
"PARL 585",371.313382101483,370.418745364983,361.228543507615,361.692267225467,360.085544006011
"PARL 584",404.177817502783,417.521698375241,447.470300335762,390.528466789719,388.64098229161
"PARL 582",404.657672513362,384.222085292157,402.311468631579,373.705446107821,372.399787660031
"PARL 580",382.18781875218,375.029841229042,377.336204906482,368.504040343706,366.79504353112
"PARL 572",391.536560749575,393.9820677461,407.358327394642,386.26604368742,385.079744747222
"PARL 390",403.33924184401,398.177169198204,402.187911468843,389.52894590162,387.941564748523
"PARL 326",396.1985405166,394.714097450811,425.594043562774,376.198961261136,373.447111882907
"PARL 325",439.511578945081,424.021549534205,447.017206775251,404.775161816193,403.69352601233
"PARL 319",374.192620404358,380.057015229445,389.717070602133,352.139755519223,351.064060701452
"PARL 246",369.846173695404,356.809730086128,374.823350813463,341.745012645462,340.526431591542
"PARL 242",350.355908189566,332.025538439748,365.112869483079,302.324113986105,300.456990608669
"All",5939.07534308525,5809.31610203308,5937.30115465807,5466.05957111059,5439.78561912541
