"","H","W","T","HW","HW+T"
"PARL 854",384.578520512774,359.724994461791,385.528104241961,371.265969983427,369.626780781218
"PARL 845",421.150104903123,431.563912944461,464.551838154328,408.205099261213,406.679105422779
"PARL 839",444.158166688731,439.621017106034,458.545300029971,435.862201375791,435.13913563071
"PARL 585",421.326395126569,419.913244049179,431.006824210309,412.325511256863,410.59079102394
"PARL 584",444.052612885145,443.671300513019,486.005585405377,417.267776551304,415.280613183629
"PARL 582",417.540057644793,396.988201599467,419.676677652983,384.508753885302,383.168337743915
"PARL 580",422.597515033074,412.307859745294,426.241687027386,403.356972266879,401.430828246406
"PARL 572",415.132846209064,418.750072636968,438.552735557132,410.175292973222,408.960109848716
"PARL 390",460.797651907263,454.834706732672,469.395641946597,440.839735724011,438.872832811288
"PARL 326",410.251183258675,410.380749305697,440.05561454461,387.623261185774,385.335572461973
"PARL 325",467.305598167594,454.682383723178,481.535131557499,432.54102401258,430.847005732273
"PARL 319",446.81420011392,434.909136315922,454.940922633389,430.199395012219,429.644118727857
"PARL 246",406.933677293518,395.825230090492,418.774944265463,375.369131571974,373.916583191145
"PARL 242",423.856631451963,399.954390567895,427.185378801186,379.129693382911,376.855389448856
"All",6492.64689234954,6354.59067888869,6506.30049493718,6026.92424546918,6001.61039945428
