"","A~H^n","A~W^n","A~(HW)^n"
"PARL 854",0.395460416616742,0.262002196581731,0.449971842392405
"PARL 845",0.824357384604443,0.798322556011855,0.934419656766783
"PARL 839",0.658159079344518,0.678907688743179,0.822744579671682
"PARL 585",0.725641648156848,0.35482583388699,0.627662483244928
"PARL 584",0.818003089416276,0.804017471026992,0.965964958989959
"PARL 582",0.442256799744229,0.72884559642428,0.848243028101357
"PARL 580",0.542922118518549,0.432092438357757,0.843615799357885
"PARL 572",0.690201258356589,0.707002220410183,0.795913230187865
"PARL 390",0.60497216554744,0.579577446158989,0.751580014220383
"PARL 326",0.699093862732464,0.824931625027724,0.924445426655641
"PARL 325",0.443332214029067,0.784408612646727,0.898889735580895
"PARL 319",-0.00839886503955456,0.559194529170996,0.207839649146801
"PARL 246",0.463875872530614,0.561544407845198,0.859255042399745
"PARL 242",0.636562837012415,0.797684757582926,0.921203776424902
"All",0.453823784954134,0.610244644765875,0.88012733870057
