"","A~H^n","A~W^n","A~(HW)^n"
"All",44.8964650469498,-79.2689440966826,-698.741119685906
"242",-12.1116685633219,-25.8036955596823,-88.7130474706629
"246",-11.5249134938373,-21.2292421174328,-48.9904732819219
"319",-26.4363170742649,-37.4828605355238,-41.3321331207252
"325",-16.6293974584715,-47.2502997557636,-71.2424764793746
"326",-50.3442005944596,-58.1238014940347,-86.130514953986
"390",-15.1640678207011,-15.8164622445179,-26.3728724776269
"572",-42.2214069373649,-41.4666610659569,-52.1451493950552
"580",-36.6523702182166,-29.6586197592135,-61.1486592948216
"582",-41.6769626451888,-72.0675301188097,-78.5192194601547
"584",-31.788381711348,-20.8720697470045,-75.7975919266867
"585",-31.3412750095709,-11.9276901318346,-25.3174679769239
"839",-15.1422272780847,-27.9373731876188,-36.2034606626433
"845",-29.0596953886251,-25.2115430966939,-58.942153398328
"854",-10.9769479826227,-4.6734556264352,-13.0301023533876
