"","A~H^n","A~W^n","A~(HW)^n"
"All",86.1449988729263,-64.6828201111112,-591.735703463221
"242",-10.0693720964899,-28.8143106076928,-58.9890951006419
"246",-14.141479825836,-20.5769096128024,-56.9388006002933
"319",3.70654357196132,-22.7739492571162,-4.01682395722062
"325",-20.2078366660363,-50.5625162363085,-74.7920600005725
"326",-42.2445137922328,-59.5764103700064,-86.466694877096
"390",-20.2252824638091,-18.2315526492672,-35.0680160482639
"572",-44.3761769488998,-46.1604276798622,-57.7322608052508
"580",-36.5921643406318,-29.6448086120485,-70.9133800614318
"582",-35.9037643529082,-58.982491659523,-77.5555489817572
"584",-27.1018228035884,-24.7326770356951,-80.7529940125975
"585",-34.3953068566999,-7.03258045695194,-24.6236063545355
"839",-19.8887911719808,-21.8299128638479,-40.2481570962018
"845",-30.5705396292399,-26.1475548946647,-62.0961502222224
"854",-11.6678802004715,-5.28472182957453,-14.691805849792
