"","W","H","T","W*H","I(W*H)","W*T","I(W*T)","H*T","I(H*T)","W*H*T","I(W*H*T)"
"All",0.356867424364321,0.0842671969885969,0.170103425782131,0.398191817803878,0.375853534752182,0.44132576603895,0.421579169523662,0.20494988072834,0.189164405383712,0.458688235474947,0.418245310795035
"242",0.652913923803925,0.40621203198437,0.08657154537786,0.799725165467513,0.809516230369875,0.674125684409705,0.648255235363184,0.495018574060923,0.469844131182089,0.833084381053729,0.839736292764851
"246",0.314485476338115,0.211738869844594,-0.0321995583495485,0.480910649567382,0.493029555515028,0.33840180078812,0.239038719741474,0.203982370529687,0.139114308687129,0.488579433431114,0.437651583170713
"319",0.1764763191963,-0.00355570612932055,-0.00390916200115332,0.120618095685751,0.128178984922671,0.129319574604889,0.141810192023294,-0.0550327237316282,0.0175428153401239,-0.0227934340370397,0.121952345426013
"325",0.440492076382499,0.188872817803032,0.118849081917887,0.498612182881092,0.535928501651201,0.548952804137954,0.534415102939718,0.213849210317249,0.260266782724833,0.508841392351204,0.582945311093794
"326",0.144544811562754,0.136198756055419,0.114216784466276,0.116167758218965,0.172328158847344,0.162827667609116,0.206817179353362,0.170910916689539,0.222766835934249,0.0570456975881859,0.244916029864612
"390",0.177677434305592,0.160745557597294,0.133220906418002,0.172401005210536,0.23327005187437,0.291712068252861,0.298383118636917,0.225164954851282,0.251532855254153,0.230552358017391,0.354391069128709
"572",0.103198073501895,0.161373956001613,0.0370845375156865,0.120213900856815,0.179258536709507,0.172493476719079,0.137813326061482,0.203070948910102,0.202538011428697,0.345831604002359,0.267198087422283
"580",0.152597199851341,-0.00942229483810464,0.144555161896265,0.133828526469524,0.140779793792707,0.257849617426448,0.297127629195672,0.132532441197502,0.190932245319924,0.222181553254115,0.347508611390758
"582",-0.00260384408074632,-0.0319188036812021,0.00682074014470768,-0.072086741250968,-0.00828525708811689,0.011175413976024,0.017352903258972,-0.0627581915620534,-0.00344254533673549,-0.0886311857377744,0.00988821006648399
"584",0.0754329394365379,-0.0623740454120698,-0.0251601111919313,0.155784057755679,-0.0308269780276491,-0.00529320647863329,0.102811905174977,-0.1665366256871,-0.0432145850772712,-0.0153765597674975,-0.00163277073489376
"585",0.147293223731568,0.0859799779292006,0.242796289716503,0.0937104867586706,0.159546017717447,0.266312666690424,0.265935490575393,0.202077777805656,0.254480281138205,0.19025825204911,0.265664720725666
"839",0.303345546971467,0.0774991433593289,0.0178145685691532,0.329374136688664,0.314242615249582,0.29362554630798,0.176068177235853,0.136600948697529,0.111610396060491,0.368220079934303,0.292544450587609
"845",0.144992135117042,0.171642760678786,0.106249969959026,0.12493693196319,0.183303600174508,0.23241093020434,0.263707316509362,0.246267237194251,0.265711449709979,0.165318785845929,0.279957476268605
"854",0.299532882563286,-0.0257216338127511,0.0446443892883306,0.340817629833812,0.0985491334141487,0.32782827542259,0.236755046935163,0.112610447630979,0.0628848027498032,0.292162830216934,0.18997079169964
