"","W","H","T","W*H","I(W*H)","W*T","I(W*T)","H*T","I(H*T)","W*H*T","I(W*H*T)"
"PARL 854",0.312264699392834,-0.033530157128141,0.0538137519229505,0.366969417615331,0.0790185562688951,0.347128589183935,0.252209606521638,0.0791577663001017,0.046597466279979,0.321654451271143,0.180979247275281
"PARL 845",0.134253681911101,0.117210195193744,0.186635805298528,0.0892384260701607,0.142604743061206,0.298104409288348,0.328822609188077,0.269673543462711,0.305923948912359,0.237500329439608,0.302103492812163
"PARL 839",0.471665489225119,0.320699629376813,-0.024747509772288,0.500588079538529,0.51840629626257,0.473344616943049,0.220252085459949,0.394698976729684,0.212548060020733,0.59348707421892,0.495846962555734
"PARL 585",0.00888895561727143,0.0172350690355357,0.180527242855419,-0.050245179799387,0.021405060137428,0.130573781312805,0.158777401352746,0.20434130898115,0.197979532867687,0.154073114009079,0.142711381070336
"PARL 584",0.0984215879959834,-0.0509407954805616,-0.0220313425641065,0.164680336175269,0.00050086500288482,0.012362623763281,0.110270819858332,-0.138871972624445,-0.0251681182795194,-0.0247815456472393,0.0269379125873164
"PARL 582",0.0278509041976142,-0.00810546175848992,0.02758417855187,-0.0235822202088387,0.0266558785550901,0.0524300220335143,0.0490782961128238,-0.0155601340969005,0.0283555823220887,-0.0424408614678486,0.0446987107793939
"PARL 580",0.237084443045186,0.044623077424003,0.100421650625635,0.222253017619419,0.236186265395147,0.31632719279174,0.314023463078207,0.174619585066558,0.21641926910619,0.313471281618785,0.413351909466772
"PARL 572",0.169273264529218,0.223958819142397,0.0157571461019165,0.189182996967765,0.24025907546005,0.23095665261443,0.18168736572925,0.265257627213138,0.232842282609307,0.314584546445702,0.321962011568796
"PARL 390",0.210745502046615,0.231204751297938,0.219667063231191,0.232754533089,0.251507542685919,0.289878255758995,0.33853533041825,0.301421879899008,0.329409361387197,0.222312598499666,0.358551375847168
"PARL 326",0.153962750872867,0.128821538383241,0.109979498125278,0.129426147007038,0.181445715716268,0.174697115112234,0.195821231527902,0.178113703591784,0.221797655076137,0.0766001524679559,0.245664937326935
"PARL 325",0.501259032951591,0.322303138297264,0.0712546655788499,0.581276031400913,0.614767484387147,0.546349266039171,0.41084650970717,0.30209751748999,0.235894262297941,0.564900196423353,0.526800219158943
"PARL 319",0.104670515977321,-0.0202001734419897,-0.0137713689128494,0.0400741551713929,0.0495009139356143,0.0687097334889817,0.109682838420724,-0.0612070403188458,-0.00570510655650169,-0.0791421870061659,0.0668333569929638
"PARL 246",0.362653895943761,0.385289486861589,-0.0216753459363981,0.60023883574946,0.60936352421981,0.353299458859257,0.29571687124694,0.376568455052656,0.250351903088684,0.652222010638117,0.567949171008145
"PARL 242",0.644200367804266,0.351468217137719,0.445445423057327,0.829839414031234,0.722369699955113,0.853375806251889,0.826804707610564,0.668587795515631,0.675141105619462,0.94054944565246,0.879550606778719
"All",0.346397575894561,0.0841652994709297,0.17060886379298,0.381797988803894,0.357499398265817,0.432126596897319,0.411836526504275,0.213759181463034,0.189081337554624,0.448284347450845,0.403550929761458
