"","W","H","T","W*H","I(W*H)","W*T","I(W*T)","H*T","I(H*T)","W*H*T","I(W*H*T)"
"All",3848.94933060746,3985.70496660171,3947.61505712401,3833.14905782035,3837.35255627148,3804.36700761613,3807.90828952104,3940.91555286637,3938.62281435698,3811.91964183169,3810.13244760295
"242",190.12765218468,205.162237962039,217.221355053083,179.154163468504,173.327489357896,192.78515640016,190.500976317248,205.049432935171,201.988403129559,182.276316684424,168.490591181754
"246",188.996012630821,193.046144878232,200.865063381793,185.434017999573,180.246220247112,192.468907444696,192.023983562494,197.832831873484,195.60198199881,193.415324373602,183.252618624905
"319",275.19689018663,280.535124258728,280.54463208005,281.309188768072,276.735669850672,281.040693340339,276.310180942207,286.226098934951,279.96143058899,293.413030543008,276.927821386267
"325",234.035063352803,242.9478755206,244.935172748246,235.471459452288,229.54660596107,232.932069695599,229.624745801424,246.265908989305,240.736629298098,242.333522768517,226.982895481822
"326",315.779237673313,316.080216338571,316.859232150796,321.443624604719,314.755711829888,319.762267354531,313.436258501516,319.461494996921,312.806544641617,332.21621828235,311.910290435072
"390",271.442461158043,271.972372237898,272.811397987669,275.862654367189,269.62251100286,271.815025405649,267.315085132191,274.149811559351,268.995720090708,281.783351067715,265.152052787977
"572",253.045388078962,251.100354332979,255.108175549009,256.992579421871,250.47520900186,255.215986687354,251.903854883531,254.124097958612,249.640763438894,256.812408392167,247.188559776636
"580",247.570166814874,252.643929045382,247.844085431407,252.708184111964,247.971790667243,248.226785089235,242.147143133118,252.751545479804,246.227655956183,258.001016241838,239.990198985552
"582",308.600531840093,309.49393712776,308.30775024259,315.330480323463,308.775702387054,312.824275936583,307.97725546211,315.059559586792,308.62645321518,324.570545312025,308.21185746537
"584",198.660055802431,201.160899535797,200.519068804273,200.400723432346,200.618294973433,203.543995177657,198.118974866278,206.221674515564,200.833314365848,209.22862720311,200.101156194341
"585",250.638090794718,252.512882900153,247.430938637609,256.623924069396,250.247305441203,250.919476265383,246.592982646565,253.185536729414,247.011068793852,261.607407290596,246.602940133732
"839",242.298838875058,249.880405932977,251.573084975342,245.611099820644,241.873166973799,247.013320084473,246.82939196319,252.433070578398,248.863102239469,252.02485792841,242.714241307048
"845",360.74427506931,359.762624177688,362.118054330318,366.115765706618,359.323134460965,362.053481161552,356.110303305535,361.488765154718,356.025808595205,373.416463612665,355.418462775211
"854",243.093068745595,254.535196357526,252.403155204357,245.849808669398,250.660812231522,246.43521716298,245.668016627132,254.768323617982,251.824832571695,256.579391069447,247.452755251551
