"","W","H","T","W*H","I(W*H)","W*T","I(W*T)","H*T","I(H*T)","W*H*T","I(W*H*T)"
"All",4200.15278313195,4342.50884439942,4300.67006387511,4186.72983504198,4192.92329052101,4150.89495769218,4155.63417715202,4288.19882666089,4291.16489173362,4158.83592126004,4161.537506236
"242",258.680615391952,277.891600060761,272.882134951739,239.80031123471,250.742139580889,235.036477452312,235.642281763625,261.132161385196,255.769357003542,215.079307753776,224.020197774487
"246",215.012600072593,213.855435408801,230.112958868152,204.810041977448,199.347465855522,220.202556077446,218.20836341065,219.029935993965,220.205913666922,209.282468951944,202.571972827785
"319",313.546370348347,317.593803086609,317.397838099161,320.358708543406,315.400028098066,319.419872658325,313.37233546353,323.468201364446,317.150194250648,332.753071807283,314.829522523298
"325",252.961000076526,260.932943911588,269.126440676364,252.668148910075,246.246766107309,254.751156499447,257.292597144939,265.950703030776,264.05310246403,261.480548535491,251.594201184
"326",324.76418113345,325.701251861749,326.385976651788,330.402735674921,323.707423626694,328.693867095676,323.140443693889,328.561118542847,322.089723069032,341.217969520881,321.092925491508
"390",302.278427951115,301.516767634085,301.948751440153,305.960970225288,300.740624659867,303.717229811575,297.156092593052,303.241936812231,297.553459343522,314.765923277492,296.264995707116
"572",268.011640225039,265.900685438613,273.268364994817,271.91237270661,265.242614323205,270.272626199927,267.544890414889,268.858176432689,265.543776930077,275.469165270527,261.715615057734
"580",270.450092807097,277.648767787337,275.723014411004,275.789917622121,270.487744126793,271.664419875101,267.048367101612,277.692097886471,271.305348567126,280.727937128506,262.042981837842
"582",317.71798261002,318.880186913393,317.726761150415,324.091428154658,317.757294826284,321.622213924161,317.011504063208,323.839647714273,317.701365926688,333.605757694977,317.158545597702
"584",218.197148653327,221.263029041275,220.705157051383,220.306301772019,220.259294057031,223.656324166202,217.932550776038,226.505883198235,220.766446206683,230.623994620005,219.72316609582
"585",291.855671666367,291.593516330876,285.960543442168,298.304940717115,291.461699706941,292.447631917661,286.772593213071,289.699073904972,285.293205612301,300.363541757315,287.359061500009
"839",278.466798897811,286.25814594146,299.003427891089,281.374295672215,275.595305914655,283.020865800281,290.533271594381,287.335429710277,290.838053033168,283.759341192003,277.014456386755
"845",374.706433717696,375.330279964324,372.70921908884,381.052188468466,374.396260655867,372.716301040006,366.560562980486,373.986924180922,367.634101167693,384.29658016519,367.809758224832
"854",250.574054866169,263.201332354529,260.464152353577,252.657357338312,259.627166578126,253.614062438554,253.169334245795,264.275226974377,260.699683257478,263.565964564359,255.989922149157
