"","A~HW","A~A_th","A~A_th*D","A~I(A_th*D)","Reis Area"
"All",0.88202689075925,0.882417239606513,0.884649716074357,0.81461188454375,0.91
"242",0.979159290979577,0.97212766924465,0.978653116580045,0.969825023569607,0.91
"246",0.863946368127912,0.861973482546219,0.885328630091815,0.892423692661421,0.91
"319",0.477179821955863,0.278894170232772,0.531599891568157,-0.0110975613045385,0.91
"325",0.91562042533594,0.907367820132723,0.902104506226357,0.902581269377485,0.91
"326",0.927866606476599,0.922482507555736,0.938226866959137,0.940166985696595,0.91
"390",0.80553045503816,0.813974845119111,0.803407382770415,0.793288713133193,0.91
"572",0.784791592462679,0.788598999722923,0.892996162652406,0.862301534784113,0.91
"580",0.837787470509781,0.834968983426973,0.826492251798334,0.586146005530218,0.91
"582",0.84416880102324,0.82477903414308,0.836068078693176,0.841614142874263,0.91
"584",0.958388567061885,0.960655162079401,0.959695145305107,0.739606936161564,0.91
"585",0.671528148438345,0.584184851427223,0.632276117762874,0.567881368746789,0.91
"839",0.751959564224254,0.74742274683592,0.934535324597796,0.852283136984922,0.91
"845",0.939241107001698,0.940789385556264,0.967146463576951,0.962413479123203,0.91
"854",0.245889235692952,0.291619500644346,0.307186819548134,0.289523197592314,0.91
