"","DW~W*T","DW~W*T*pdD","DW~A_th*T*pdD","DW~I(W*T)","DW~I(W*T*pdD)","DW~I(A_th*T*pdD)","Reis Dry Weight"
"All",0.44132576603895,0.458895512545658,0.453126544148535,0.421579169523662,0.450807969392839,0.386006157895969,0.72
"242",0.674125684409705,0.842433171234682,0.835456152010282,0.648255235363184,0.833977194277748,0.848048796817647,0.72
"246",0.33840180078812,0.513573256076428,0.467034156234776,0.239038719741474,0.415508018525919,0.481320624339891,0.72
"319",0.129319574604889,-0.012638480584658,-0.060039108434528,0.141810192023294,0.142316071799351,0.0998873113130656,0.72
"325",0.548952804137954,0.49919979770399,0.520155114883114,0.534415102939718,0.606410529486955,0.580830656775991,0.72
"326",0.162827667609116,0.0532616846981803,0.0548421088987121,0.206817179353362,0.241202493843504,0.240527863312948,0.72
"390",0.291712068252861,0.228166138657858,0.261763129016904,0.298383118636917,0.351418691330678,0.352938374380043,0.72
"572",0.172493476719079,0.348764566478357,0.260903698235207,0.137813326061482,0.254053626223926,0.299050900568761,0.72
"580",0.257849617426448,0.205792501756135,0.23003068951495,0.297127629195672,0.356604478139758,0.303273227921171,0.72
"582",0.011175413976024,-0.0998839689788324,-0.0640160717055782,0.017352903258972,0.0110237784881847,0.00329234019801394,0.72
"584",-0.00529320647863329,0.00319123516444164,-0.358229978905956,0.102811905174977,0.0276563315037462,-0.0180184739482665,0.72
"585",0.266312666690424,0.212299210720668,0.241082022686055,0.265935490575393,0.26715899897051,0.252511417260999,0.72
"839",0.29362554630798,0.449213385827995,0.381835090968315,0.176068177235853,0.299635338372188,0.368954469092326,0.72
"845",0.23241093020434,0.163236053839304,0.177736205388247,0.263707316509362,0.276640305402992,0.256260547197619,0.72
"854",0.32782827542259,0.292797358031446,0.295450281491966,0.236755046935163,0.242919220243711,0.156066000717467,0.72
