"","DW~W*T","DW~W*T*pdD","DW~A_th*T*pdD","DW~I(W*T)","DW~I(W*T*pdD)","DW~I(A_th*T*pdD)","Reis Dry Weight"
"All",0.432126596903854,0.448478024920852,0.441940671654192,0.411836526506277,0.432171439243739,0.370271131403964,0.72
"242",0.853375806257338,0.953069457817952,0.941201193061845,0.826804707646167,0.89240731717833,0.871162951690691,0.72
"246",0.353299458861049,0.669899671589162,0.637978805195271,0.295716871254292,0.53394248244945,0.627345570939914,0.72
"319",0.0687097335096293,-0.0771897877762246,-0.0765951345626417,0.109682838440459,0.0866445357027849,0.0556632049338385,0.72
"325",0.54634926602054,0.56460639006988,0.5823829215137,0.41084650977147,0.549657058448384,0.578152005153179,0.72
"326",0.174697115016998,0.0732240469631258,0.0745097432674775,0.195821231452596,0.240383568864286,0.247346668313409,0.72
"390",0.28987825577897,0.24062435766305,0.294332192946918,0.338535330423151,0.343092353337568,0.326704562776232,0.72
"572",0.230956652604908,0.297036102609776,0.301542547175409,0.181687365703426,0.310119636887946,0.352195092609067,0.72
"580",0.31632719275124,0.300531688926028,0.306711895532906,0.314023463034491,0.420366325803489,0.379774695397452,0.72
"582",0.0524300220870692,-0.0520671827401569,-0.0225960875341058,0.0490782961403342,0.0452514513709635,0.0365345757582096,0.72
"584",0.0123626238197629,-0.0281936529540399,-0.259241787552065,0.110270819889165,0.0529686349276615,0.0137007450191166,0.72
"585",0.130573781325332,0.14779507785468,0.148025578881169,0.158777401354342,0.134937032478014,0.116122977333821,0.72
"839",0.473344616888797,0.623734539062339,0.604385070254797,0.220252085408905,0.481909007388261,0.574349822860853,0.72
"845",0.298104409304925,0.235994177650592,0.248007337788115,0.328822609202181,0.308147148362397,0.251022252549931,0.72
"854",0.347128589189219,0.323421096681718,0.32860027985822,0.252209606515043,0.243272501281729,0.137638063307834,0.72
