"","FW~H","FW~W","FW~D","FW~T","DW~H","DW~W","DW~D","DW~T","H~W","D~W","T~W","D~H","T~H","T~D"
"All",0.369303881959856,0.536566469067781,0.486171453261172,0.349786383194126,0.0841652994760624,0.34639757590686,0.165342867122703,0.170608863787263,0.0351368302674184,0.183540779007816,0.0417597862867458,0.567077503336478,0.0615904473061043,0.0836079350494845
"242",0.483991650949553,0.755509141894615,0.643932053533415,0.427423528978889,0.351468217284936,0.644200367894413,0.490928140564795,0.445445423040597,0.287934500345727,0.375494773679781,0.149199134132726,0.883663486680096,0.0375022073840935,0.106662862178083
"246",0.332010244576144,0.527926892608611,0.623260488007114,0.0328898189195469,0.385289486787096,0.362653895930611,0.568696037237782,-0.0216753459327692,0.0232413193573051,0.214582031760252,-0.0314406527115674,0.870133627525897,-0.0273649874497262,-0.0321485929148138
"319",0.260761967012654,0.490420066322535,-0.00145348044338034,0.0470332156307554,-0.0202001734305843,0.104670515987498,-0.0246848458285645,-0.0137713689072159,0.0889693389757725,-0.0312244994328665,-0.032357463722368,0.049893880191679,-0.0295605707267166,0.0313943202037691
"325",0.468901570975703,0.642021861794827,0.771186867212893,0.171497140820057,0.322303138180894,0.501259032845548,0.543629999068201,0.071254665640078,0.123668992761193,0.455241658770998,-0.0197808453500889,0.808548585201305,0.0586620528606847,0.051466545383423
"326",0.690457566576373,0.68920170742216,0.863379813061951,0.214371791333118,0.128821538385634,0.153962750829821,0.177140324820806,0.109979498070224,0.40669771279835,0.630339283603689,0.190609603446025,0.878124996090878,-0.00394546966208575,0.0269027316812596
"390",0.554642632518181,0.630357990209107,0.651120537023586,0.417363075347559,0.231204751340773,0.210745502163467,0.24740183773284,0.219667063136029,0.296748177043396,0.512336682668035,0.0588779327388778,0.753778734912565,0.0971411439855204,0.0639993295244726
"572",0.560647247644571,0.508067775263829,0.70095094298674,0.086599755294413,0.223958819135477,0.169273264532236,0.342132299266393,0.0157571460878272,0.546751522064951,0.640749347255438,-0.0315011703203509,0.882855794798,-0.0314040431163589,-0.0306251595237026
"580",0.233579174709958,0.444327177993492,0.138969503384855,0.141134979526959,0.0446230774657765,0.237084443038645,0.0103908452220935,0.100421650592498,0.00727350201144827,0.0711980024709318,-0.0327260659005699,0.255179677298514,0.0014870545492367,0.0231307618251937
"582",0.36272768555917,0.664724843290344,0.624631785433305,0.318724732855835,-0.00810546173741966,0.0278509042198477,0.0437793326331971,0.0275841785703085,0.117106632332596,0.339679002943666,0.0800843764622886,0.702826016597926,0.062775040985488,0.131314811310646
"584",0.736217901992533,0.739342479318206,0.310049243560566,0.0213698700134948,-0.0509407954687222,0.0984215880589203,-0.0516387857745244,-0.0220313425769725,0.465042970870886,0.256530224779667,-0.0333063766292416,0.216915367512293,-0.0322840909993349,-0.00675378180020436
"585",0.532627544972496,0.552818068739455,0.391519282894623,0.367525504225866,0.0172350690655383,0.00888895560238978,-0.0344771384893363,0.180527242878092,0.469169872958849,0.40701433503232,0.0212194440259089,0.538753333841584,-0.0109784361870995,-0.0214680157951657
"839",0.36830701360551,0.451812396433798,0.793882486789252,0.00970645229631584,0.320699629304369,0.471665489192824,0.677447786374271,-0.0247475097810159,0.307133249416858,0.504913427428438,-0.00071011738437643,0.685008320510787,0.10690579619977,-0.00997979521856807
"845",0.769534402738659,0.680890884254099,0.869790467649905,0.105373992046457,0.117210195220878,0.134253681945607,0.159780780462541,0.186635805281966,0.562380490553568,0.694662549168485,-0.0191547626130493,0.938124104177071,-0.0134964320182089,-0.00865393190094088
"854",0.154080544426537,0.610933041042142,0.174510568757202,0.128602155187696,-0.0335301571292363,0.312264699384278,0.0893984644527011,0.0538137519251578,0.220281704049237,0.361513889838653,-0.0284171881627766,0.133111105564887,0.10637227637517,-0.0271954890202823
