"Accession","W","H","D","Th","WH","WD","WT","HD","HT","DT","WHD","WHT","WDT","HDT","HWDT"
"All Accessions","5853.69273066644","6026.37639409997","5770.78021225057","6032.2743182637","5549.94326019977","5490.9176248189","5611.27567117444","5681.69565210955","5867.8992672677","5591.94873422927","5501.26469107083","5103.23269012605","4990.25857217343","5485.87237117981","4991.77691582009"
"242","373.102498469038","395.205584719559","386.861751264073","398.125668340029","341.08284552122","333.67400548799","360.685047750847","371.348210775889","376.025788352513","362.709236801855","321.76703903303","315.04696527649","307.238203527086","327.688918105369","301.926001830731"
"246","358.771586718485","380.781589790304","362.422356543794","393.91380851276","347.597234151757","344.481842812253","358.759188767846","348.552686236854","381.887039505976","358.229475315416","356.764519140157","337.934718058338","327.640555929581","331.426104760429","329.925026635204"
"319","407.68760481508","417.576054274286","390.532422929478","423.438070720044","407.534561712937","386.311987805415","404.797406786956","395.57322018966","411.151663859009","391.800535599184","393.497170498772","385.296929093175","383.449811993641","402.338907483966","381.543815350545"
"325","426.37110937604","434.989766290491","409.777507213625","453.557932161087","414.433359932294","406.942702165418","415.994205365232","407.160872118833","438.765348777542","401.745358200395","418.886778668932","411.100617009098","396.202534748871","393.176120158312","410.898895413019"
"326","365.608143459561","369.670078463476","349.572626210216","400.256732580916","356.882178175158","350.395099454572","363.420087049459","354.4544737965","359.854683495756","319.904252697174","362.321734082955","344.677832812072","325.286021280619","322.411456005178","345.523111310235"
"390","423.485618112286","431.297815330358","417.41392066243","440.748596857789","421.154382538516","420.82814298017","400.233934372912","423.534376804543","419.053733233503","390.3719017273","432.606526134587","392.311363398971","387.891448708989","394.753983902498","403.573905302411"
"572","367.042821093551","369.361678487267","360.62271060357","395.886651736033","366.105203137081","361.7394092401","367.091268034888","366.708163759389","366.357003165869","347.220500693866","374.219427777452","364.539141772146","351.421277320607","350.722687079239","358.401616861835"
"580","387.814364425211","393.628288124401","399.787811122809","392.553896531163","385.827187572591","390.861762353424","380.752084789911","399.635026269329","371.972105981287","381.914439615675","394.193109790275","361.531491989129","375.750700400502","379.05306967243","383.546253702786"
"582","362.652003295777","390.427664187907","374.551733678498","394.862504209969","364.6885044165","356.197573876471","359.707065781723","373.217241696262","384.421570492745","368.923454436497","367.511989890435","363.911318818848","351.223932884048","367.955222748207","366.970807012621"
"584","431.020207056846","429.749918800127","403.825523268125","471.663116507888","411.18329761657","398.206213772392","429.85035532028","402.593398416186","431.794466714531","398.696947912699","410.215206235365","395.032559963188","366.51537586322","392.518301409349","366.165744460658"
"585","394.504097242654","396.59936496469","382.014940447113","404.367540279577","395.078161799643","384.408831261385","379.552368226475","384.894837081248","373.849756608215","364.346976033002","388.617813417264","375.912169045156","369.921464042963","371.160551727578","379.988731174973"
"839","369.515421989957","390.123702912439","358.47599196635","405.135442021347","373.062015485345","362.167081737041","362.072110198808","358.640874328107","381.657695858318","337.205341765478","369.243155792415","349.519656937215","341.781549137204","348.990895500531","361.002967719897"
"845","372.548037648918","369.480432521195","353.598045492419","409.486927881682","363.122812172422","355.29340452402","366.935389147635","352.327736230209","364.232841752074","341.036784332588","357.073905689025","354.219104513214","345.462616499694","340.816432450567","345.366245598382"
"854","337.752526649955","362.036995455841","350.832099020436","363.465184051627","340.366349957553","343.48381316152","327.258671668832","346.734751230315","351.634863451666","334.560316011536","341.219351717419","333.92093879224","333.182921359862","333.357478084649","326.168590533487"
